 	avete	fatto	già	le	verdure	</S>
i	0.96404	0.0172449	0.00139054	0.000370001	0.00590843	0.0110461
k	0.683778	0.295232	0.0151226	0.0040014	0.00168214	0.000183463
à	0.095365	0.130614	0.506963	0.0392068	0.218977	0.00887465
m	0.0443627	0.949393	0.00306737	0.000282173	0.000497509	0.00239716
a	0.196521	0.785707	0.00936209	0.00143216	0.00644235	0.000535368
t	0.191445	0.4532	0.290674	0.0600165	0.004629	3.53944e-05
o	0.00178677	0.0227279	0.830133	0.0671044	0.0667598	0.0114886
g	0.00495646	0.0178444	0.582829	0.37813	0.0113895	0.00485017
i	0.00110512	0.00636233	0.566168	0.101662	0.297221	0.0274817
à	0.00199862	0.00434823	0.155132	0.785319	0.017771	0.0354311
t	0.00434822	0.156294	0.0929214	0.505438	0.238682	0.00231733
a	0.00677224	0.0498763	0.0218143	0.641428	0.27865	0.0014587
l	0.0016532	0.00269324	0.0498225	0.638858	0.22803	0.0789429
à	0.00150791	0.00614612	0.00296882	0.138752	0.80536	0.0452649
c	0.00034458	0.0162152	0.00613454	0.00819752	0.0346927	0.934416
h	0.00219857	0.0292469	0.0117296	0.0982554	0.84593	0.0126394
a	0.00231996	0.00470128	0.0202009	0.040658	0.793072	0.139048
n	0.000433901	0.000466956	0.00164287	0.00510956	0.969087	0.0232593
a	0.00342357	0.00755491	0.000943675	0.00948587	0.844825	0.133767
</S>	0.000305206	0.000269448	0.000836614	0.00425996	0.129711	0.864618
