 	il	ladro	poteva	entrare	da	qui	</S>
o	0.993336	0.00554253	0.000659058	2.26546e-05	5.66524e-06	2.54042e-05	0.000408794
l	0.792624	0.174208	0.0270771	0.00565871	0.000214851	9.03996e-06	0.000207777
à	0.00282847	0.915711	0.0415129	0.0343943	0.000840395	0.000121184	0.00459212
d	0.000393822	0.983124	0.0115344	0.00462999	8.2897e-05	4.35945e-05	0.000190825
r	0.0498448	0.938198	0.0106395	0.000914697	1.30809e-05	6.74479e-05	0.000322767
o	0.00218448	0.937555	0.040281	0.0150494	0.00020301	0.00142165	0.00330553
ì	0.125256	0.0887753	0.774701	0.00306146	0.00660728	0.00104363	0.000555635
s	0.0113295	0.367027	0.586622	0.0339046	0.000162534	0.000618586	0.000335081
o	0.00355354	0.208277	0.750618	0.0349343	0.000662317	0.001555	0.000399316
z	0.00499973	0.00180057	0.857755	0.107529	0.0238985	0.000882135	0.00313516
e	0.000365517	0.00557386	0.822924	0.124137	0.0177731	0.0151634	0.0140632
è	0.00117841	0.000515092	0.415296	0.259134	0.231473	0.00496756	0.0874355
m	0.000158735	0.00294928	0.0207713	0.967225	0.00425393	0.00436227	0.000279398
b	2.36258e-05	0.00732626	0.0520021	0.936244	0.00202912	0.00189872	0.000476166
i	0.000124839	0.00549244	0.0100423	0.0471298	0.00973344	0.0535626	0.873915
a	0.000301856	0.00014638	0.00478064	0.00809836	0.53763	0.0377956	0.411247
p	0.000232324	0.00152453	0.00233939	0.00485818	0.35804	0.598766	0.0342388
ò	0.000338621	0.00146469	0.00314637	0.0028951	0.441269	0.424077	0.126809
t	0.000804876	0.00247042	0.00106655	0.0126636	0.0312936	0.825413	0.126288
t	0.000560373	0.0307085	0.00943379	0.0288379	0.0576325	0.86093	0.011897
u	9.85513e-05	0.000612706	0.0021816	0.00704432	0.0507402	0.0208691	0.918454
</S>	6.2511e-05	0.000102426	0.000134312	9.4284e-05	0.0210004	0.012341	0.966265
