 	voglio	che	Maria	venga	domani	</S>
i	0.998323	0.000364401	0.000759585	0.000133898	2.08134e-05	0.000398437
t	0.95676	0.0191571	0.0235129	0.00033259	0.00021033	2.69988e-05
è	0.378811	0.1054	0.181692	0.200144	0.0507452	0.0832077
l	0.90376	0.046388	0.0386905	0.0105753	3.42879e-05	0.000551943
o	0.725919	0.204386	0.0680663	0.000993908	0.00051442	0.000120737
n	0.0502773	0.943188	0.00572985	9.44702e-05	0.000624227	8.65686e-05
a	0.020439	0.570028	0.233656	0.146693	0.00946746	0.0197161
r	0.0119334	0.941201	0.0164259	0.00109877	0.00417991	0.0251613
t	0.0153049	0.502631	0.300764	0.0951882	0.0111456	0.0749664
i	0.015044	0.0960253	0.00223082	0.00628684	0.0188878	0.861525
à	0.0100561	0.557959	0.045634	0.00974427	0.0047102	0.371896
v	0.00348529	0.049832	0.338834	0.137008	0.47002	0.000820734
v	0.000564471	0.0136298	0.103916	0.0269082	0.854448	0.000533024
r	8.55903e-05	0.00198604	0.0233776	0.0259266	0.149123	0.799501
i	0.00302428	0.0210964	0.0112795	0.00851141	0.0412299	0.914858
i	0.00303247	0.0664517	0.013314	0.0501288	0.0713012	0.795772
M	0.00212846	0.00550231	0.00209464	0.641577	0.297363	0.0513341
a	0.00481136	0.0144283	0.00382384	0.60031	0.174236	0.20239
r	0.00324164	0.0313769	0.00131724	0.0825857	0.590178	0.2913
ì	0.00160506	0.0041784	0.0016825	0.422974	0.304244	0.265316
a	0.00102738	0.00267022	0.0148332	0.0682475	0.707934	0.205288
</S>	0.0125172	0.0174243	0.00308103	0.244832	0.134757	0.587389
