 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
n	0.988161	0.00617006	0.00207383	2.46464e-05	0.000128084	6.47887e-05	5.35386e-05	0.000897532	0.0024268
d	0.903985	0.0570245	0.0170027	0.00134965	0.0115358	0.00426391	0.000754572	0.00136778	0.00271631
ì	0.981727	0.0181516	3.96158e-05	7.40645e-06	3.33468e-05	2.10428e-05	1.12108e-05	8.69076e-06	2.38884e-07
s	0.0925785	0.886166	0.00916703	0.000125459	0.00757062	0.00261568	0.000235245	8.26038e-05	0.00145909
o	0.133422	0.702489	0.160707	0.00227378	0.00014933	4.37273e-05	8.28315e-06	0.000794004	0.00011299
n	0.0752304	0.370253	0.553372	0.000970199	7.93338e-06	5.36427e-06	1.17625e-05	0.000148094	8.03616e-07
t	0.0299192	0.692897	0.179428	0.0206798	0.0444727	0.0153335	0.00803955	0.00401583	0.00521413
a	0.0431533	0.61936	0.0938962	0.0883833	0.00917085	0.00547573	0.00967047	0.0467607	0.0841291
t	0.0186438	0.183029	0.757209	0.0337089	0.000909532	0.000625491	0.00136169	0.00370239	0.000810479
i	0.0134799	0.206634	0.186451	0.216547	0.147339	0.0990909	0.054304	0.0460847	0.0300694
k	0.0017429	0.0211001	0.836159	0.125599	0.00182761	0.00104581	0.00192092	0.00708501	0.00351982
i	0.00743907	0.0672357	0.246337	0.161454	0.263898	0.0954589	0.0498705	0.0546555	0.0536514
a	0.0011249	0.010921	0.448287	0.472509	0.00472006	0.00291533	0.0055732	0.0222859	0.0316634
t	0.00187369	0.00666818	0.119791	0.710471	0.112792	0.0188489	0.0072416	0.0140425	0.00827104
è	0.00261326	0.00818341	0.0101654	0.396179	0.315088	0.112529	0.0608918	0.0766848	0.017666
r	0.00252856	0.0167555	0.0593219	0.00605494	0.473447	0.141108	0.00289651	0.0802386	0.217649
a	0.00936707	0.031919	0.424415	0.201314	0.186568	0.0330757	0.00238944	0.100328	0.0106236
t	0.000952141	0.00275971	0.153429	0.666551	0.102689	0.0198083	0.00518285	0.0321924	0.0164354
i	0.000437101	0.00077594	0.000523758	0.15057	0.692299	0.0999656	0.0252444	0.0177245	0.0124602
n	0.000285109	0.000697878	0.0106547	0.395745	0.419343	0.0676419	0.0118458	0.0288531	0.0649335
ì	0.000430199	0.000882931	0.000383767	0.0502276	0.770784	0.116525	0.0269126	0.0231827	0.0106705
c	0.000220606	0.000719202	0.000500948	0.000354173	0.695261	0.192268	0.000892475	0.0199229	0.0898608
h	0.000816421	0.00169262	0.00114149	0.0230277	0.736597	0.197566	0.0052484	0.0292905	0.00461973
a	0.00291648	0.00485597	0.0115911	0.0484262	0.135183	0.140754	0.00916554	0.487844	0.159264
p	0.000738431	0.000954545	0.00107414	0.0415948	0.158317	0.633767	0.115321	0.0170485	0.0311844
à	0.000650252	0.000998933	0.000243007	0.0141313	0.272951	0.500881	0.0970339	0.0655345	0.0475762
r	0.000163882	0.000481727	4.88771e-05	3.07047e-05	0.122491	0.699159	0.00794816	0.0418778	0.127799
o	0.000795645	0.00149089	0.000597015	0.00700581	0.109622	0.591113	0.124499	0.151408	0.0134683
n	0.000294734	0.000418016	0.000692816	0.0135346	0.00484855	0.0573519	0.347772	0.489705	0.0853831
t	0.000502134	0.000843021	0.000314076	0.00218137	0.0566342	0.244081	0.427076	0.120803	0.147564
a	0.00088261	0.00137896	0.000293153	0.0482712	0.0842837	0.0957398	0.145415	0.174534	0.449201
s	0.000119985	0.000210503	0.000208377	0.00263365	0.00522744	0.0313813	0.425391	0.190502	0.344326
t	0.000335744	0.000598857	9.01686e-05	0.00190055	0.0212008	0.09425	0.395988	0.173218	0.312417
i	0.00113912	0.00164558	0.00032452	0.0356309	0.0383023	0.0442425	0.201474	0.165705	0.511536
n	9.17084e-05	0.000170747	0.000137501	0.00104864	0.00189773	0.00686722	0.330949	0.253453	0.405384
a	0.000757179	0.00139898	0.000196036	0.00189275	0.0126357	0.0369372	0.41976	0.33665	0.189773
g	0.000229291	0.000469272	0.000469486	0.00286254	0.00128179	0.00336822	0.188226	0.222419	0.580675
l	0.002063	0.00374793	0.000463251	0.00225063	0.00949648	0.0166866	0.241264	0.577748	0.146279
i	0.000561809	0.00121296	0.000951934	0.0343955	0.0156373	0.0208376	0.0394216	0.0640131	0.822968
s	0.000154476	0.000324154	0.000125831	0.000319355	0.000836739	0.00130949	0.0711718	0.273436	0.652322
ì	0.000418921	0.000802866	0.000144281	0.000921348	0.00310195	0.00747711	0.143804	0.713669	0.129661
a	0.000435068	0.00114035	0.000142635	3.234e-05	0.000645995	0.00302506	0.011343	0.805775	0.17746
</S>	0.00141887	0.0022216	0.000863257	0.000729605	0.000303204	0.000732099	0.017659	0.58874	0.387332
