 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.999029	0.000431644	0.000256242	1.50763e-05	9.30316e-06	4.92046e-05	2.5186e-06	3.44006e-06	1.36997e-05	0.000189749
p	0.913456	0.023537	0.0317195	0.00329868	0.000986075	0.0238012	0.00160034	0.00105124	0.000472899	7.68281e-05
è	0.381497	0.0937716	0.14569	0.00390818	0.016145	0.26761	0.00445848	0.077087	0.0020149	0.00781715
n	0.710866	0.179765	0.075093	0.000187919	0.00304794	0.0235853	0.00469439	0.00195931	0.000132239	0.000668971
s	0.346528	0.435033	0.201873	0.0135661	0.000515337	0.00196731	0.000117356	0.000183031	0.000104443	0.000111958
e	0.0239694	0.329639	0.219775	0.0263812	0.355664	0.0192978	0.00905952	0.0042083	0.0067048	0.00530127
t	0.00282737	0.155309	0.705126	0.134814	0.000313648	0.00134232	3.67046e-06	0.000258271	3.94917e-06	2.23208e-06
s	0.000851504	0.228893	0.730202	0.0207434	0.0088052	0.00224006	0.00223755	0.00118897	0.000889238	0.00394868
e	0.00590802	0.247521	0.264888	0.402683	0.00709509	0.0124318	0.0222551	0.00208383	0.0013115	0.0338224
k	0.00168358	0.0630928	0.585805	0.283782	0.0171161	0.0352564	0.00114484	0.00792754	0.000648488	0.00354337
a	0.0026029	0.058817	0.41848	0.389734	0.0518417	0.0337458	0.00698458	0.0175677	0.00082296	0.0194038
o	0.000205455	0.0293572	0.0557558	0.814885	0.0624895	0.00584039	0.012966	0.00102993	0.000864559	0.0166061
l	0.00260118	0.0141752	0.0291391	0.24982	0.505209	0.161865	0.0037489	0.0236416	0.00120333	0.00859673
à	0.00157044	0.0200643	0.0223937	0.0856449	0.734707	0.0715809	0.0180649	0.0227817	0.00260422	0.020588
d	0.000127103	0.000455892	0.00205728	0.000497108	0.962838	0.0190758	0.0105746	0.00044819	0.00227025	0.00165582
r	0.00186499	0.00554979	0.0164797	0.0402122	0.737075	0.156335	0.0173976	0.0177907	0.00615509	0.00113993
o	6.66647e-05	0.0026137	0.00723785	0.00509593	0.871433	0.0275915	0.0135151	0.0103855	0.0374085	0.0246521
m	0.0002259	0.001192	0.00201753	0.0304421	0.0577224	0.829382	0.0159854	0.0575475	0.00168595	0.00379929
b	0.00028511	0.00198672	0.00154654	0.00274756	0.496523	0.0579923	0.407366	0.0111744	0.00389611	0.0164821
ì	9.1495e-05	0.00384287	0.00281408	0.096164	0.244138	0.0215944	0.440388	0.00488458	0.0114903	0.174593
k	0.000672331	0.00115465	0.000813295	0.00151541	0.0786934	0.541886	0.299132	0.0309305	0.0413889	0.0038138
e	0.000188909	0.000466911	0.000377806	0.00012447	0.130571	0.224581	0.61075	0.028289	0.00425573	0.000395022
à	0.000159089	0.00111485	0.00052583	0.00177631	0.000552452	0.0693563	0.00820167	0.818544	0.0196183	0.0801514
t	0.000932197	0.00119378	0.000701142	0.000240409	0.00276301	0.0929641	0.0332389	0.82578	0.0408878	0.00129845
t	0.000583836	0.000527847	0.000580592	7.90099e-05	0.00143146	0.0055937	0.193232	0.676338	0.119514	0.00211946
i	0.000245159	0.000264952	0.000281318	0.00011255	0.000880508	0.00231088	0.0871717	0.151019	0.189081	0.568632
f	9.47359e-05	0.000918253	0.000393276	0.000163727	0.000246178	0.00155233	9.2181e-05	0.166475	0.255894	0.57417
i	0.00029685	0.00187159	0.00144214	0.000159755	0.00137456	0.00135052	0.0186546	0.536078	0.328496	0.110276
n	0.000251858	0.000583268	0.000456765	4.4936e-05	5.1857e-05	0.000202705	9.71448e-05	0.00911767	0.782182	0.207011
è	0.000938344	0.00748272	0.00532296	0.000936743	0.00205293	0.00100103	0.00231955	0.310019	0.527116	0.142811
s	0.00163131	0.000634089	0.00061786	0.000412422	0.000648811	0.00126476	0.00367197	0.0197741	0.799537	0.171808
t	0.00645851	0.00526912	0.00590071	0.000418983	0.00303593	0.00228618	0.0115913	0.204994	0.754805	0.00524058
r	0.00324061	0.00168074	0.0017551	0.000215452	0.000772717	0.00497836	0.0476803	0.0719176	0.121075	0.746684
a	0.000712507	0.0046941	0.00398254	0.00471219	0.0159429	0.00243807	0.00353408	0.069341	0.339458	0.555185
</S>	0.000212818	0.00185432	0.000734332	0.000221095	0.000118752	0.000348881	1.39218e-05	0.0169564	0.0702997	0.90924
