 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.112976	0.00742424	0.820589	0.0333641	0.00122002	0.000142637	0.000679268	0.00820686	0.0153971
e	0.0337347	0.867797	0.00884895	0.0445652	0.0311069	0.00266193	0.0018799	0.00566195	0.00374374
t	0.154565	0.79719	0.0148079	0.019665	0.0122436	0.00145604	3.51513e-05	3.26431e-05	4.51892e-06
i	0.000613454	0.938113	0.00593044	0.00817663	0.0325646	0.00391176	0.00421339	0.00298461	0.00349253
p	0.0348907	0.871935	0.0508743	0.0259921	0.012927	0.00237438	0.000317107	0.000656755	3.26414e-05
à	0.00294466	0.45224	0.0108409	0.0969803	0.223521	0.0126658	0.0784207	0.0965621	0.0258244
s	0.000411017	0.0228805	0.744369	0.201505	0.00618306	3.58408e-05	0.00493225	0.00375843	0.0159252
t	0.0262154	0.0356559	0.0332899	0.889715	0.0135686	0.000479692	3.18549e-05	0.000814548	0.000229578
a	0.0020597	0.0824073	0.0154908	0.280281	0.0977502	0.00714643	0.00611906	0.421015	0.0877305
ì	0.0223188	0.0139375	0.00223242	0.910158	0.0386063	0.0111068	9.31232e-05	0.0015218	2.5553e-05
t	0.000778193	0.000519416	0.00330804	0.906964	0.0871796	0.000903345	5.27535e-05	0.000260206	3.4261e-05
e	4.44638e-05	0.000985433	0.000828514	0.944168	0.0526311	0.000714355	0.000207856	0.000398634	2.13797e-05
l	0.00133107	0.00142057	0.000140097	0.109864	0.776497	0.105233	0.000491765	0.00437456	0.000648295
e	0.000291535	0.00335853	0.000607514	0.04416	0.812415	0.0368141	0.0616762	0.0235349	0.0171426
à	0.000793574	0.000618483	3.10404e-05	0.0124087	0.641815	0.319593	0.00395628	0.00982401	0.0109599
l	0.000873192	0.000254982	0.0227296	0.0366795	0.823534	0.0934856	0.0161339	0.00569049	0.000618776
a	0.000195292	0.000966305	0.00331487	0.0452405	0.858362	0.0641472	0.011216	0.0160105	0.000547809
t	0.00143969	0.000400165	5.94895e-05	0.00474288	0.170402	0.662759	0.0915235	0.042907	0.0257667
o	0.000137821	0.00205728	0.000683347	0.0011552	0.0284307	0.347234	0.480599	0.0838611	0.0558417
n	0.00112034	0.000277154	3.66908e-05	0.000742575	0.0469081	0.378531	0.386478	0.079589	0.106317
ì	0.000217068	0.00190017	0.000440149	0.0010669	0.0108439	0.10392	0.6325	0.189485	0.0596267
c	3.6282e-06	2.74803e-05	0.00295964	0.00294101	0.0110668	0.00042167	0.562721	0.0124628	0.407396
h	0.00073351	0.00392979	0.00898487	0.0164508	0.0191916	0.0669717	0.731062	0.14553	0.00714487
a	0.000901825	0.000355452	8.33135e-05	0.00120596	0.0557797	0.303191	0.0737489	0.461774	0.10296
v	0.000223945	0.000230887	8.88334e-05	0.000294634	0.000986647	0.0339454	0.090215	0.855353	0.018662
à	0.000191797	0.0024964	0.00107013	0.00121629	0.000389037	0.00877931	0.455406	0.411675	0.118776
l	6.96717e-06	5.68033e-05	0.00253212	0.00198078	0.00125806	0.000182903	0.442091	0.122057	0.429834
o	0.000254189	0.00111094	0.00179941	0.00340284	0.00418372	0.021988	0.40088	0.553735	0.0126464
n	0.000148955	6.13996e-05	1.09497e-05	9.06511e-05	0.000439175	0.0121045	0.0122647	0.725798	0.249082
t	0.000165164	0.00175128	0.000900771	0.00163371	0.000428656	0.00582943	0.162444	0.355667	0.47118
a	0.000217895	0.000950037	4.28858e-05	0.000601155	0.00274549	0.256604	0.189816	0.0885497	0.460473
</S>	0.000123155	7.54165e-05	6.26081e-06	5.79568e-05	0.000290928	0.00660338	0.0140581	0.244656	0.734129
