 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.999946	2.84177e-05	1.91081e-06	3.8503e-07	2.43307e-07	7.33284e-07	5.93463e-06	1.62594e-05
r	0.986779	0.0120394	0.000158365	4.12855e-05	6.51871e-05	9.82218e-05	0.000197782	0.000620477
t	0.798122	0.197306	0.00328735	0.000151179	6.13839e-05	1.29968e-05	0.000685722	0.000373181
e	0.233746	0.546848	0.207748	0.00276171	0.00211805	0.00053147	0.00325834	0.0029878
n	0.298539	0.700523	0.000799943	8.17886e-05	5.07538e-05	4.3088e-06	4.67578e-07	1.56931e-07
a	0.0812655	0.42647	0.377435	0.0190215	0.0276342	0.027156	0.00669093	0.0343268
i	0.0228349	0.872922	0.0893855	0.00418671	0.00830353	0.000890372	0.00085265	0.000624246
v	0.00127732	0.0867654	0.826943	0.0622707	0.0119406	0.00438957	0.00274613	0.00366738
ò	0.00174962	0.01217	0.924159	0.0168842	0.0170724	0.010042	0.00391248	0.0140101
s	0.00359066	0.155293	0.82327	0.00536352	0.000584425	0.000357509	0.0035904	0.00795023
t	0.00941647	0.0219984	0.86713	0.0903898	0.00611547	0.000287209	0.00378191	0.00088059
è	0.00157549	0.00134558	0.467548	0.0298046	0.0191588	0.00276604	0.367943	0.109859
o	0.0278018	0.0321958	0.771894	0.0672492	0.0375125	0.0081085	0.0109548	0.0442829
s	0.00494578	0.00348227	0.141247	0.788308	0.0576233	0.000596301	0.00134911	0.00244885
t	0.00030976	0.000259567	0.302344	0.410129	0.102239	0.0255043	0.0310677	0.128147
u	0.000366085	0.000180202	0.111135	0.503705	0.0654046	0.0138517	0.15547	0.149887
d	0.000106019	0.000388466	0.0183052	0.446871	0.479504	0.0114144	0.0180626	0.0253483
i	0.000470549	0.00088821	0.0650465	0.377757	0.319372	0.0587543	0.0558654	0.121846
è	0.000159064	0.000308141	0.00190446	0.106787	0.783825	0.0140097	0.0402416	0.0527654
o	0.00301276	0.014377	0.00732346	0.240916	0.717875	0.00823051	0.0058287	0.0024374
n	0.00593937	0.00784251	0.00843974	0.0170967	0.82598	0.108929	0.0209256	0.00484753
a	0.00126542	0.000688165	0.0101562	0.00674527	0.482753	0.242582	0.118551	0.137258
g	4.12787e-05	0.000320239	0.000205061	0.0014915	0.477936	0.287417	0.162216	0.0703727
h	0.0012277	0.000815481	0.00862438	0.00324997	0.199568	0.476194	0.109622	0.200699
e	0.000194983	0.000543229	0.000591581	0.00427599	0.272952	0.109006	0.226446	0.38599
t	0.000194675	0.000260098	0.00078034	0.000238337	0.0240049	0.579192	0.186957	0.208372
t	0.000768515	0.000184586	0.00252897	0.000636359	0.0267257	0.516737	0.223926	0.228494
ò	0.00018265	0.000234533	0.00041109	0.0129365	0.0549423	0.0194892	0.371532	0.540271
m	0.0010098	0.00264147	0.00266798	0.00072638	0.0058741	0.0675141	0.760851	0.158715
e	0.00513855	0.0223715	0.0535947	0.0011599	0.0147187	0.250319	0.624707	0.0279902
s	0.000118053	0.000223851	9.71536e-05	0.000195749	0.00479661	0.0665969	0.55803	0.369942
s	0.000250538	9.31844e-05	0.00106339	0.000111161	0.00244027	0.215949	0.308173	0.471919
è	0.000331779	0.000218456	0.000598876	0.00367027	0.0158126	0.051031	0.443025	0.485311
r	0.000321849	0.000866383	0.000912774	0.000158424	0.000444959	0.00926235	0.835406	0.152627
e	0.00180561	0.00144618	0.00681146	0.000471497	0.00592453	0.172185	0.722025	0.0893301
</S>	6.3233e-05	9.71414e-05	4.98433e-05	5.12237e-05	0.000357298	0.00889719	0.436313	0.554171
