 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.992322	0.00429729	0.000151386	4.58043e-05	0.00047862	0.000279985	0.00242502
n	0.8564	0.000928843	0.000606517	0.000318434	0.0930722	0.00977884	0.0388956
a	0.834077	0.0164719	0.000983708	0.000378083	0.134047	0.00834443	0.0056981
a	0.945381	0.0300167	0.0111397	0.00276427	0.00998076	0.000523631	0.000193851
f	0.0244161	0.865818	0.100245	0.00355133	0.00380176	0.000432643	0.00173526
o	0.0131311	0.467927	0.269022	0.0477549	0.0904597	0.0104368	0.101268
r	0.0240412	0.0456997	0.379967	0.136162	0.407326	0.00482952	0.00197448
à	0.00235885	0.0978327	0.377964	0.105029	0.24335	0.0180352	0.15543
s	0.00171911	0.00139033	0.00625308	0.00408502	0.955763	0.0225087	0.00828092
o	0.0135353	0.2837	0.44405	0.143113	0.0813336	0.0186706	0.0155974
t	0.000167938	0.0517514	0.102829	0.770809	0.0679018	0.00290115	0.00364029
o	0.00060046	0.006033	0.0539211	0.442334	0.220928	0.109443	0.16674
t	0.000123944	0.0540097	0.0689688	0.448434	0.378035	0.0108967	0.0395319
s	0.000596422	0.00221805	0.0102784	0.127514	0.394146	0.166075	0.299173
o	3.37203e-05	0.534163	0.192064	0.103289	0.00324888	0.00581915	0.161383
m	0.000361914	0.0125695	0.0054578	0.00887632	0.167237	0.162805	0.642693
ì	0.000609858	0.0103167	0.00438526	0.0156449	0.863149	0.0388401	0.0670541
p	0.000317483	0.000117276	3.83951e-05	0.000134183	0.476859	0.417291	0.105242
à	0.00598243	0.0177602	0.00370969	0.00502638	0.0654586	0.668914	0.233149
s	3.89321e-05	8.62443e-06	2.25274e-06	5.49555e-06	0.0354406	0.749992	0.214512
s	0.00168472	0.000958999	0.000495586	0.000632995	0.00770899	0.747317	0.241202
i	5.43551e-05	0.000851196	0.000174289	0.000401514	0.0268211	0.536588	0.43511
n	0.000155751	0.000926729	0.000312869	0.000438645	0.000836355	0.32376	0.67357
i	0.000292034	4.94817e-05	5.01909e-05	5.40145e-05	0.000637973	0.463749	0.535168
m	9.70035e-05	0.000491895	0.000181664	0.000144438	0.000107905	0.0960053	0.902972
è	0.000331452	0.000104095	8.17926e-05	6.31134e-05	0.000406374	0.265453	0.73356
r	0.000616028	2.30643e-05	9.49598e-06	9.70753e-06	0.00200987	0.524981	0.472351
a	0.00291891	0.000854838	0.000318595	0.000256381	0.00146583	0.482596	0.511589
</S>	0.000122052	0.000856955	0.000231828	0.000178841	5.11335e-05	0.00556255	0.992997
