 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a	0.796669	0.144074	0.0566491	0.000581456	0.000175934	4.25277e-05	2.97242e-05	3.96099e-05	7.99008e-05	0.00165838
t	0.433807	0.562765	0.000937062	0.00207487	0.00024201	6.0118e-05	7.66157e-05	2.28546e-05	6.44513e-06	7.73975e-06
e	0.00434814	0.985675	0.00296804	0.000710086	0.00146773	0.00057493	0.00106407	0.000145588	0.000111384	0.00293484
l	0.00999987	0.988569	0.000689196	0.000554422	0.000101638	5.50749e-05	2.57986e-05	4.4525e-06	2.51208e-07	1.98871e-07
ì	0.000387467	0.94223	0.00465324	0.0064072	0.0147543	0.00353316	0.0214065	0.00152118	0.000451148	0.00465605
s	0.000388323	0.995402	0.000492918	0.000651971	0.00163245	6.16021e-05	0.00072028	5.88513e-05	9.22221e-05	0.000499427
i	0.158771	0.7045	0.0743363	0.0566684	0.00385791	0.000926385	0.000436215	1.09559e-05	0.000187152	0.000305277
n	0.0227382	0.0154312	0.847093	0.108632	0.00331236	0.00263595	2.74442e-05	0.000100738	1.86751e-05	1.01169e-05
a	0.00821043	0.341926	0.220243	0.11981	0.229298	0.0310282	0.0255876	0.00811563	0.00090073	0.0148809
z	0.00556119	0.00863872	0.830534	0.124271	0.019135	0.00773139	0.000214544	0.00194802	0.000257201	0.00170923
ì	0.00513691	0.0761001	0.333304	0.134084	0.317997	0.0718483	0.0190027	0.0121919	0.00161267	0.0287222
s	0.00192365	0.332355	0.259308	0.165407	0.134589	0.0121265	0.0235361	0.0021693	0.012186	0.0563998
i	0.00592182	0.0593774	0.662455	0.148315	0.0730666	0.0315821	0.0143828	0.000308002	0.00248582	0.0021058
n	0.00105252	0.000697445	0.339108	0.598992	0.0452875	0.0142416	7.66593e-05	0.000273962	0.000141756	0.000128777
a	0.00056139	0.00397495	0.0690413	0.0682712	0.705572	0.0987193	0.029069	0.0141126	0.00086643	0.00981242
m	0.000686397	0.000249375	0.0788115	0.597583	0.270292	0.0431069	0.000484504	0.00297245	0.00076761	0.00504636
i	0.00063546	0.00349002	0.0129349	0.0224774	0.767864	0.0823502	0.0641038	0.0220288	0.00194536	0.0221703
n	0.00085695	0.00014415	0.0126095	0.36581	0.49453	0.0960213	0.00129414	0.00753424	0.00177025	0.01943
ì	0.000246597	0.000721297	0.00195171	0.0145474	0.799217	0.14021	0.0149344	0.0133065	0.0013003	0.0135642
s	0.000154055	0.0131471	0.00146859	0.050163	0.749545	0.0381503	0.033139	0.00211203	0.0341844	0.0779362
e	0.00071631	0.00255595	0.00275237	0.0347824	0.528485	0.179036	0.222878	0.00695092	0.0105149	0.0113283
l	0.000469158	7.97094e-05	0.00208606	0.0910058	0.140666	0.750338	0.00477352	0.00539001	0.00236498	0.00282685
i	0.000145695	0.000594375	0.000324168	0.00241526	0.557847	0.339727	0.0531411	0.0263676	0.00296542	0.0164722
p	0.000313601	4.15307e-05	0.000362968	0.0160846	0.160826	0.774988	0.00721053	0.0173988	0.00280223	0.0199717
a	0.000161067	0.000566226	0.000341648	0.00153764	0.224296	0.55875	0.0760635	0.0546858	0.0126644	0.0709333
r	0.000450138	5.14631e-05	0.000351771	0.0094553	0.0545798	0.805562	0.0189309	0.0510804	0.00730335	0.0522354
ò	0.000240855	0.000532948	0.00034254	0.00163219	0.102206	0.58072	0.102228	0.0666746	0.0260743	0.119349
n	0.00011581	0.00450774	8.33893e-05	0.00144659	0.0292979	0.0940395	0.610874	0.00686707	0.132653	0.120115
g	0.000216811	0.000868584	0.000144945	0.000666303	0.0144467	0.133497	0.830329	0.00916218	0.00671911	0.00394903
h	7.45742e-07	0.000333107	0.000135405	6.5489e-05	0.0115256	0.0289981	0.108883	0.0100816	0.512795	0.327182
ì	0.0013857	0.00081187	0.00208538	0.0156383	0.0453997	0.603098	0.0446112	0.0443991	0.0927659	0.149805
z	0.00149316	0.00180515	9.79781e-05	0.00189056	0.00111042	0.0238488	0.908175	0.037747	0.0165209	0.00731122
i	4.41595e-05	0.000240581	4.52318e-05	9.37359e-05	0.00131904	0.0302148	0.91912	0.0391594	0.00694262	0.00281985
n	0.000310772	4.63636e-05	0.000214178	0.000722719	0.00107401	0.09242	0.0607111	0.644066	0.158113	0.0423215
a	0.000146391	0.00102397	0.00016597	0.000295151	0.00356417	0.0216914	0.234441	0.527664	0.0582553	0.152752
f	0.000181098	2.84923e-05	9.07239e-05	0.000303834	0.000337798	0.0111389	0.0211405	0.717806	0.145127	0.103846
à	0.000102721	0.000707948	0.00024889	0.000165071	0.00160852	0.00825991	0.0549339	0.561401	0.155027	0.217545
i	1.26055e-05	0.0018411	1.7075e-05	3.7008e-05	0.000235643	0.000570742	0.206529	0.0385768	0.680423	0.071757
a	0.000661005	0.000573098	0.000527015	0.000586044	0.000535501	0.00339087	0.0103881	0.206607	0.58919	0.187541
l	0.000153865	0.000279598	8.28254e-05	0.000173397	0.000382356	0.00279446	0.0234658	0.229403	0.639101	0.104164
ì	0.00011024	0.000420344	0.000406774	0.000162395	0.00149271	0.0154124	0.044033	0.564923	0.211446	0.161592
o	1.17451e-05	0.000836602	1.06935e-05	2.21929e-05	5.54293e-05	5.10939e-05	0.0334932	0.00904725	0.909358	0.0471134
</S>	0.000542747	0.000563189	0.000417968	0.000476129	0.000250099	0.000922513	0.00245153	0.030565	0.690637	0.273174
