 	voglio	che	Maria	che	venga	domani	</S>
i	0.995442	0.0014281	0.00304197	1.00362e-05	5.799e-06	1.04742e-05	6.16616e-05
t	0.969755	0.0231497	0.00597167	0.000977779	3.91204e-05	9.53095e-05	1.10015e-05
è	0.581759	0.0787699	0.152518	0.0600241	0.0442148	0.0188029	0.0639112
l	0.818976	0.115794	0.0562524	0.00346112	0.00512442	1.88322e-05	0.000372854
o	0.650169	0.292982	0.0558397	0.000738174	4.50257e-05	0.000165402	6.07915e-05
k	0.0561471	0.938523	0.0030699	0.00187258	4.36451e-05	0.000321669	2.18763e-05
a	0.0291378	0.226969	0.402163	0.120911	0.175808	0.0185194	0.0264915
i	0.0226643	0.919875	0.0117678	0.0198868	0.00157106	0.00376185	0.0204729
M	0.00410189	0.110814	0.790741	0.0767471	0.0141289	0.000371728	0.00309505
a	0.066737	0.373542	0.313704	0.126192	0.0567082	0.00161531	0.0615013
r	0.022839	0.60982	0.0486889	0.162898	0.0888939	0.0635174	0.00334256
ì	0.0203938	0.240438	0.526249	0.118307	0.0576255	0.00262604	0.0343594
a	0.0323685	0.271362	0.620635	0.0271744	0.0351516	0.0105016	0.00280719
n	0.0154136	0.12917	0.181904	0.655196	0.00821445	0.00072324	0.00937829
a	0.0100023	0.112239	0.163144	0.373906	0.122787	0.0624617	0.155461
r	0.0041152	0.296144	0.0139022	0.504648	0.0111332	0.164518	0.00553901
t	0.0136368	0.106037	0.162465	0.586508	0.0351192	0.0229417	0.0732926
i	0.00164821	0.086979	0.00675158	0.0281765	0.00149562	0.00908461	0.865865
à	0.00113165	0.0462307	0.0228281	0.0452881	0.00159185	0.857376	0.0255536
v	0.00168984	0.0025093	0.0169916	0.00902355	0.13763	0.782768	0.0493875
v	0.000594565	0.000797024	0.0110372	0.0197791	0.0387406	0.922927	0.00612403
r	1.96217e-05	2.44646e-05	0.00497482	0.0106157	0.0234523	0.03639	0.924523
i	0.000174938	0.000866306	0.0290681	0.0245465	0.00561345	0.0338888	0.905842
</S>	0.000653337	0.00112739	0.000506958	0.051769	0.0842905	0.00789346	0.853759
