 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.981513	0.0168972	0.000853485	4.98501e-05	1.50321e-05	8.92578e-06	1.23354e-05	1.54976e-05	0.000178988	0.000455453
d	0.969488	0.0259145	0.00266771	4.78866e-05	0.00123222	5.14603e-05	0.000260784	7.14375e-05	0.000253645	1.22802e-05
r	0.812463	0.100693	0.0632101	0.0021852	0.00372446	0.0035499	0.0105161	0.000722234	0.00148406	0.00145143
e	0.47967	0.359754	0.026914	0.0700685	0.0248149	0.00837432	0.014678	0.00951605	0.00414588	0.00206456
f	0.0959291	0.881701	0.00772935	0.00487161	0.00643324	0.00067165	0.00143055	0.000990178	8.10504e-05	0.000162609
f	0.111018	0.804948	0.0470002	0.00467806	0.0120435	0.00365223	0.00704486	0.00209842	0.00100132	0.00651502
ì	0.112505	0.223605	0.108259	0.276092	0.107448	0.0211336	0.0379148	0.0286097	0.0337102	0.0507234
m	0.0099612	0.38308	0.57789	0.00954694	0.0110481	0.00519079	0.00121152	0.0005222	0.0012225	0.000326896
m	0.0955904	0.807025	0.0967204	9.034e-05	0.000260124	3.32753e-05	5.81937e-05	5.49209e-06	7.43567e-05	0.000142043
u	0.0110961	0.203584	0.757358	0.00507806	0.00421446	0.00657803	0.00231456	0.000211296	0.0039924	0.00557297
f	0.0211945	0.258886	0.162698	0.198386	0.341987	0.00282086	0.00758518	0.00496626	0.00102377	0.000451679
ù	0.00182634	0.0742362	0.718463	0.115361	0.0353684	0.0171061	0.0137922	0.00423089	0.00135049	0.0182652
e	0.000340945	0.0188242	0.968194	0.00371832	0.00215336	0.00194313	0.000507812	8.56054e-05	0.00195724	0.00227546
p	0.00135509	0.00563132	0.341015	0.334333	0.310861	0.00220373	0.00345488	0.000197756	0.000238492	0.000709237
p	0.000221529	0.00215709	0.33316	0.434203	0.070893	0.0899061	0.0179247	0.00675772	0.00548038	0.0392965
ò	0.00130725	0.0180672	0.0303606	0.268767	0.303457	0.0275686	0.0552383	0.0221358	0.0884781	0.18462
r	0.00101948	0.00546117	0.121144	0.200007	0.58915	0.0638081	0.0111588	0.00126507	0.00546558	0.00152075
k	0.000668724	0.00281586	0.0942046	0.106514	0.7456	0.0312532	0.0116439	0.000655564	0.00578153	0.000862753
e	9.60242e-05	0.00121003	0.0726931	0.0657051	0.0111839	0.318942	0.0142869	0.00209059	0.416496	0.0972963
t	0.000125653	0.000288881	0.000413083	0.0598213	0.87263	0.0292336	0.0300882	0.00276465	0.00256649	0.00206847
e	4.54203e-05	0.000184874	0.00346639	0.154398	0.32791	0.41453	0.0394356	0.00778897	0.00861622	0.043625
e	5.1049e-05	7.70711e-05	9.61695e-05	0.0284721	0.785719	0.0840397	0.0850796	0.00312254	0.00398013	0.00936287
t	0.000306642	0.00051649	0.000976533	0.00338538	0.0852897	0.451925	0.438034	0.0102939	0.00255471	0.00671705
è	0.000249905	0.000748544	0.00120641	0.0108479	0.0849729	0.55025	0.287932	0.0271904	0.00837345	0.0282283
l	0.000154404	0.000526388	0.00363692	0.000550787	0.00748026	0.616766	0.297717	0.00135541	0.0433737	0.028439
i	0.000508842	0.0012775	0.00391231	0.00190371	0.102157	0.394137	0.459799	0.0108443	0.0224656	0.00299491
n	0.00016085	0.000185333	5.09979e-05	0.0009897	0.0449847	0.0556965	0.654224	0.133418	0.0585419	0.0517483
a	0.000631225	0.00167456	0.00242741	0.000947317	0.00898914	0.0774577	0.736533	0.113853	0.0220369	0.0354491
d	0.000177004	0.000237354	6.76109e-05	0.000506198	0.0108826	0.0355608	0.555218	0.150958	0.112903	0.133489
i	0.000444663	0.00119562	0.00188743	0.00122444	0.00559893	0.118221	0.594333	0.0932644	0.0796059	0.104225
v	0.000251808	0.000351076	8.66623e-05	0.000766575	0.00697857	0.0139964	0.251051	0.227503	0.194693	0.304322
e	0.00102409	0.00319578	0.00434378	0.00227663	0.00417091	0.0405479	0.304529	0.389699	0.10972	0.140492
