 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.984341	0.0100934	0.00373074	0.00177124	4.06033e-06	2.08964e-06	5.57777e-06	4.05751e-07	5.99884e-06	7.94362e-07	1.14029e-06	4.05744e-06	3.91722e-05
s	0.944411	0.0257369	0.0197368	0.0063022	0.0011468	0.000619329	0.000676481	5.0228e-05	0.000883589	0.000243547	0.00010345	7.18051e-05	1.81329e-05
t	0.529017	0.278269	0.144356	0.022846	0.0103231	0.00409286	0.000518	0.000745274	0.00323452	0.000824977	0.000362069	0.000303608	0.00510784
è	0.408094	0.252682	0.227597	0.0478112	0.0180545	0.0101205	0.00861457	0.00822986	0.0116528	0.00236208	0.00376224	0.000362521	0.000656885
o	0.100394	0.831845	0.062308	0.00413755	0.000461785	0.000206651	1.09493e-05	2.92815e-05	0.00010973	6.37237e-05	2.98921e-05	3.63863e-05	0.000367193
s	0.0257252	0.0679794	0.884924	0.0205701	0.000351619	0.000253369	3.20156e-05	6.41969e-06	3.34982e-05	8.09979e-06	2.0906e-06	7.47693e-05	3.94754e-05
t	0.00767519	0.546257	0.376213	0.0409222	0.0149644	0.00373217	0.00113367	0.00202129	0.00207613	0.000618769	0.000413339	0.000934124	0.00303914
o	0.0195376	0.509934	0.209635	0.0997863	0.0613976	0.0252865	0.00941825	0.0175121	0.00666611	0.00565551	0.00526205	0.00165571	0.0282538
t	0.00200164	0.0257862	0.793091	0.127499	0.0319883	0.00772421	0.00282607	0.00396376	0.00303204	0.00072678	0.000666821	0.000293553	0.000400687
e	0.00179725	0.062605	0.861968	0.0489038	0.0128781	0.00411898	0.000955051	0.0018376	0.00175722	0.000347178	0.000296526	0.0004002	0.00213524
l	0.00200553	0.0320117	0.53296	0.289611	0.0723289	0.0231972	0.0151904	0.0139721	0.00826149	0.00317841	0.00370185	0.000985101	0.00259618
è	0.00497245	0.0232166	0.742589	0.172644	0.036066	0.0092025	0.00125746	0.00216225	0.00336592	0.000398831	0.000292231	0.000624133	0.00320904
f	0.00429007	0.147249	0.521528	0.268586	0.017233	0.0246991	0.00103158	0.00100111	0.000661714	0.00115513	0.000232011	0.00766298	0.00467008
o	0.0294095	0.0275864	0.329701	0.544768	0.0464935	0.012207	0.00102744	0.000268835	0.0013253	0.00051776	6.18227e-05	0.00576523	0.000867853
n	0.000741212	0.00490624	0.110339	0.596812	0.162573	0.049364	0.0385352	0.0209322	0.00898795	0.00259458	0.00238861	0.000556533	0.00126925
o	0.000929389	0.00575066	0.0369205	0.239026	0.48087	0.0986352	0.0147215	0.0716453	0.015214	0.00998921	0.00309662	0.00516809	0.0180335
e	0.000307983	0.00122804	0.0201505	0.399094	0.44686	0.043874	0.02935	0.0305859	0.00982704	0.00345566	0.00523533	0.000752435	0.00927902
a	0.000379348	0.000722597	0.00179392	0.0572681	0.869867	0.0434844	0.00475088	0.00841485	0.00688231	0.00140736	0.000796789	0.00161429	0.00261813
d	0.000301909	0.00061036	0.000681454	0.00958644	0.735622	0.230334	0.00575381	0.00793381	0.00645774	0.000954177	0.000262915	0.00118909	0.000312438
r	0.000571017	0.00337099	0.0028128	0.0197092	0.733858	0.109059	0.0106889	0.0447856	0.0140587	0.017984	0.00702399	0.0191012	0.0169766
e	0.000609581	0.00642652	0.020999	0.0262015	0.0858878	0.113893	0.142271	0.219902	0.0506401	0.0423519	0.0406638	0.00472721	0.245426
f	0.000235584	0.000686636	0.000641258	0.00389155	0.242413	0.419644	0.0492711	0.148273	0.0312127	0.0400941	0.0141945	0.00913008	0.0403124
f	0.000426876	0.00205845	0.000920368	0.00496327	0.574419	0.346251	0.00681437	0.0398561	0.00965239	0.00280344	0.00111646	0.00324238	0.00747588
ì	0.000427799	0.00175001	0.0110534	0.0202171	0.0766767	0.0841478	0.104922	0.161459	0.0573773	0.0417281	0.0481436	0.00257493	0.389522
m	0.00319249	0.0058928	0.0027886	0.00794656	0.181441	0.350606	0.058607	0.0385637	0.0543304	0.113801	0.00856109	0.161847	0.0124219
m	0.00288809	0.0064637	0.00308574	0.00862042	0.405425	0.508007	0.0130642	0.0117719	0.0217862	0.00713632	0.000466899	0.00917528	0.00210947
u	0.00012423	0.00164849	0.000826871	0.00149701	0.0779231	0.188853	0.0032002	0.0136158	0.0366236	0.134809	0.013518	0.0603996	0.466961
e	0.000204192	0.000192358	0.000328923	0.000743907	0.0179494	0.157698	0.143724	0.317243	0.248383	0.0459667	0.0451704	0.00140772	0.020989
t	0.000128889	0.000218983	0.000114854	0.000172665	0.00237399	0.0520726	0.0862156	0.556446	0.21533	0.0662967	0.0103043	0.00227217	0.00805253
i	9.68663e-05	0.000278577	0.000136028	0.000117799	0.00175253	0.0227318	0.00953617	0.611937	0.0292686	0.234428	0.0299173	0.0140116	0.0457877
n	5.42103e-05	7.99165e-05	6.05605e-05	7.74029e-05	0.00093253	0.00758498	0.102922	0.416433	0.243316	0.150602	0.0573214	0.00076955	0.0198463
è	0.000369601	0.000792397	0.000392478	0.00038729	0.00265031	0.00964764	0.00945543	0.565897	0.0338459	0.266077	0.0390079	0.0301827	0.0412947
c	0.000526027	0.00229146	0.000723722	0.000846654	0.00281358	0.0271896	0.0238414	0.0309132	0.23301	0.483657	0.0164686	0.0576152	0.120104
h	0.00180326	0.00195605	0.00117702	0.00167827	0.00538957	0.00830417	0.0225208	0.20395	0.228694	0.391016	0.0709687	0.0469982	0.0155433
i	0.000569841	0.0036724	0.000789757	0.000755768	0.00265955	0.0349296	0.0328353	0.0497877	0.190214	0.315554	0.0326656	0.167141	0.168426
e	0.000290724	0.000805607	0.000272429	0.000278379	0.000587029	0.00186441	0.0120544	0.109399	0.103876	0.23731	0.416054	0.0513662	0.0658427
