 	lo	sentii	che	viene	</S>
t	0.9604	0.0170174	0.000490407	0.00385458	0.018238
o	0.980878	0.00171973	0.00278841	0.00558025	0.00903383
n	0.426689	0.54241	0.0304469	0.000324535	0.000129615
ì	0.00498682	0.0393222	0.543657	0.295665	0.116369
k	0.00351251	0.719264	0.040159	0.120988	0.116077
u	0.0873046	0.874368	0.0323933	0.00420592	0.00172825
s	0.115448	0.628271	0.250821	0.00304744	0.00241259
a	0.00293451	0.116283	0.720502	0.0298942	0.130386
n	0.0114984	0.142248	0.578926	0.0683724	0.198955
a	0.000543107	0.0342443	0.740825	0.050743	0.173645
r	0.00312752	0.0662272	0.189986	0.266956	0.473703
t	0.000403505	0.0171637	0.203424	0.239432	0.539578
i	0.00543508	0.027232	0.0661664	0.0245045	0.876662
</S>	0.000137928	0.00306966	0.0281814	0.0715043	0.897107
