 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.905537	0.0883025	0.00081954	0.000491355	0.000106764	0.00102569	0.00371743
ì	0.950735	0.0463861	0.000476245	0.0012291	0.000277323	0.000333447	0.000562543
s	0.99862	0.00129637	2.51909e-05	3.91216e-05	4.84272e-06	3.75362e-06	1.04848e-05
i	0.507589	0.472942	0.0155944	0.00210022	0.000142106	0.000967688	0.000664369
f	0.125422	0.648497	0.214746	0.00831849	0.00277015	0.000215479	3.08782e-05
a	0.146148	0.397602	0.179716	0.14613	0.0646094	0.0106321	0.0551633
m	0.00258012	0.268769	0.683739	0.0166819	0.0206639	0.00289406	0.00467168
ì	0.0334083	0.45404	0.32763	0.11138	0.0224847	0.00994541	0.0411116
g	0.0567133	0.906093	0.0140679	0.00983364	0.00150369	0.00282659	0.00896176
l	0.0248785	0.951761	0.0150216	0.00675855	0.000244571	0.00093918	0.000396714
i	0.0016602	0.317968	0.00359697	0.0297306	0.0107283	0.518334	0.117982
a	0.000111415	0.0260934	0.61677	0.185037	0.123905	0.0319158	0.0161664
e	0.000807334	0.00978187	0.580069	0.390735	0.0114767	0.00163099	0.00549899
n	0.000784576	0.00183902	0.0672074	0.581499	0.321041	0.0212678	0.00636076
è	0.00101782	0.00250122	0.0107864	0.263731	0.503041	0.125319	0.0936032
c	0.0879078	0.0130957	0.00704997	0.515995	0.0758667	0.0881232	0.211962
h	0.0543148	0.0237674	0.0138986	0.663303	0.142755	0.0851124	0.0168482
i	0.00220348	0.00399573	0.00445892	0.0612813	0.0647268	0.615405	0.247929
n	0.000455559	0.00140875	0.00392	0.0579963	0.290071	0.531047	0.115102
a	0.00495398	0.00600756	0.00207158	0.0435608	0.416888	0.283165	0.243353
f	1.20836e-05	3.31473e-05	0.000677177	0.00337158	0.168084	0.574213	0.253609
à	0.000923191	0.00257185	0.000624419	0.00888236	0.14305	0.515547	0.328401
i	0.0320856	0.00415377	0.000256113	0.0154036	0.0463927	0.690265	0.211443
</S>	0.000748297	0.00192324	0.000953158	0.00234495	0.0152696	0.586756	0.392004
