 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.9639	0.0061308	0.0297258	4.85447e-05	1.29196e-05	8.57362e-07	2.5758e-06	1.27863e-06	2.27973e-06	3.82202e-05	0.000136841
n	0.966274	0.0286639	0.000906113	0.000598203	0.00318953	8.2438e-06	2.35644e-05	1.92277e-05	1.54985e-05	0.000291319	1.05437e-05
ì	0.0104946	0.88835	0.0711087	0.0198377	0.00474399	0.000225167	0.00121414	0.00111077	0.000335731	0.000728242	0.00185098
c	0.00252919	0.996668	0.000164875	0.000268823	2.13781e-05	1.38667e-06	0.000263823	2.41365e-05	9.99343e-06	1.84577e-06	4.60068e-05
h	0.325999	0.636334	0.0141763	0.00795835	0.0133992	2.21424e-05	7.7861e-05	1.50822e-05	9.31485e-06	0.00153142	0.00047785
e	0.0109436	0.981706	0.000884046	0.00471434	0.000675546	7.07789e-05	0.000613155	0.000189266	5.52773e-05	7.81211e-05	6.93558e-05
n	0.0580229	0.0133418	0.533165	0.274075	0.116795	0.00211136	4.78672e-05	8.7065e-05	0.000140051	0.000639519	0.00157373
d	0.00290593	0.0381943	0.301393	0.515673	0.0380527	0.0205584	0.0373803	0.010706	0.0108691	0.00761094	0.0166566
ì	0.0333857	0.0980918	0.0774836	0.327296	0.209202	0.120494	0.00591359	0.0100017	0.0139849	0.0602058	0.0439408
s	0.038376	0.0122486	0.261147	0.469675	0.207094	0.00203867	0.00184685	0.000361962	0.00031268	0.00604956	0.000849681
o	0.00466099	0.000885887	0.594909	0.275269	0.12156	0.000826384	0.000104485	3.63123e-05	2.20813e-05	0.00128765	0.000438035
n	0.00137816	3.69286e-05	0.0519727	0.623271	0.316452	0.00540935	1.29232e-05	6.64537e-05	0.000110781	0.00123341	5.5985e-05
t	0.000214674	0.000323032	0.0802304	0.807913	0.0658432	0.0209187	0.0146981	0.0023329	0.00227678	0.00133786	0.00391105
a	0.000784855	0.000322321	0.247039	0.330542	0.0620397	0.181305	0.00950476	0.0109138	0.0111146	0.0629793	0.0834552
i	0.000424453	8.67206e-05	0.0444922	0.67378	0.239556	0.0312858	0.000230505	0.000870534	0.00154448	0.00377114	0.00395783
k	0.000753782	0.000406156	0.00594519	0.241952	0.709488	0.0330846	0.00154406	0.0010023	0.00111931	0.00224531	0.0024592
i	0.000815598	0.00312544	0.0232642	0.538249	0.245692	0.0856257	0.0308954	0.0160723	0.0115252	0.030421	0.0143142
a	0.000663907	0.000174713	0.00314387	0.0969396	0.596445	0.252056	0.0029648	0.00318935	0.0040219	0.010388	0.030013
t	0.00215099	0.00155801	0.0015883	0.0394103	0.310293	0.502768	0.0786	0.0159165	0.0120716	0.0225812	0.0130625
è	0.000220866	0.000792888	0.00139626	0.0352982	0.0352766	0.403599	0.322189	0.0734066	0.0371177	0.06845	0.0222536
r	0.000169037	0.00305923	0.00109905	0.010984	0.0111647	0.00173417	0.713414	0.0337763	0.000970953	0.0312721	0.192356
a	0.00567605	0.0065572	0.0106202	0.0672863	0.470564	0.105339	0.155329	0.0219648	0.00664007	0.126994	0.0230295
i	0.00119839	5.78795e-05	0.00147733	0.01187	0.218138	0.55819	0.0403771	0.0673498	0.0132889	0.0407332	0.0473198
n	0.000659427	0.000514797	0.000472057	0.00190437	0.00667952	0.273036	0.557818	0.10622	0.0177196	0.0201269	0.0148494
ì	8.82252e-05	0.000285555	0.000307402	0.00196374	0.0011049	0.151777	0.615379	0.157058	0.0336164	0.0277791	0.0106406
c	3.86379e-05	0.00076526	0.00011612	0.000327864	0.000196378	0.000297428	0.849746	0.0617069	0.000585758	0.0165722	0.0696479
h	0.000700297	0.017249	0.00105773	0.00263536	0.00340767	0.0292197	0.727896	0.13414	0.0135045	0.0587968	0.0113934
a	0.000716959	0.00050616	0.00149441	0.00313463	0.0126404	0.0175885	0.104269	0.141207	0.010529	0.530694	0.17722
p	0.000328853	0.000147518	0.000714461	0.000554305	0.00117717	0.0519604	0.0815224	0.637041	0.151901	0.0317881	0.042865
à	9.3064e-05	0.000781032	0.000183491	0.000846596	0.000359557	0.0574756	0.367558	0.410878	0.0693637	0.0470694	0.0453918
r	5.13077e-05	0.00126645	0.000103234	0.000175434	3.25083e-05	0.00010474	0.42467	0.356518	0.0059551	0.0935656	0.117557
o	0.000313627	0.00102076	0.000361496	0.00104785	0.000738443	0.0164814	0.127483	0.475082	0.142467	0.218133	0.0168705
n	0.000135594	2.4219e-05	0.000164219	0.000181484	0.000381445	0.0113445	0.00231455	0.165726	0.236337	0.484539	0.0988513
t	0.000148591	0.000711627	0.00017786	0.000709997	0.000315664	0.0150957	0.106979	0.407155	0.244994	0.103212	0.120501
