 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
s	0.0634062	0.107966	0.827004	0.000678252	0.000418552	4.09078e-05	8.94406e-06	1.42038e-05	4.14221e-06	1.58958e-05	1.27812e-05	1.38861e-05	1.98929e-05	0.000156367	0.000239808
à	0.635057	0.363932	0.000982247	1.05019e-05	3.42222e-06	1.90417e-06	7.77104e-07	2.90621e-06	1.19727e-06	7.44774e-07	1.90669e-06	9.95397e-07	5.01819e-07	2.27901e-06	1.14716e-06
t	0.999276	0.000251507	0.00045383	4.60482e-06	4.86169e-06	1.05999e-06	7.06697e-08	1.18254e-06	1.30818e-07	2.37088e-07	1.16133e-06	7.67711e-08	2.16217e-07	1.30853e-06	3.72469e-06
t	0.989657	0.00558468	0.00410782	0.000318579	0.000102063	5.55269e-05	3.33855e-06	2.71282e-05	3.99472e-06	1.20491e-05	4.0906e-06	2.57776e-05	1.99409e-06	7.97248e-05	1.5803e-05
e	0.999752	0.000172681	5.31686e-05	1.10186e-05	3.3017e-06	1.84248e-06	2.13287e-07	1.9283e-06	1.34141e-07	1.79512e-07	3.0622e-07	7.47151e-08	1.46376e-08	3.03634e-06	1.35983e-07
o	0.0718613	0.885349	0.032881	0.00480156	0.00294	0.000437832	0.000144335	6.49301e-05	0.000556691	6.14917e-05	1.06458e-05	0.000884757	3.44865e-06	2.85685e-06	5.29965e-07
G	0.0587895	0.846253	0.0653619	0.0113887	0.00673831	0.00171254	0.00032383	0.000373313	0.00097039	0.000534445	0.000210759	0.00551323	8.80324e-05	0.00126629	0.000475792
i	0.0108702	0.971012	0.00581199	0.00533925	0.000986293	0.000779642	0.00113478	0.000156553	0.000964108	0.000296864	0.000135621	0.000924098	5.96826e-05	0.000214892	0.00131386
o	0.000748922	0.882993	0.0731123	0.0196721	0.00607528	0.00497296	0.00100135	0.00387744	0.000943733	0.00221518	0.00084847	0.00269376	0.000715138	7.28274e-05	5.71975e-05
v	0.0028682	0.189703	0.36976	0.202901	0.114969	0.0279379	0.0063154	0.00359891	0.0075862	0.00842922	0.00415043	0.0523221	0.00199841	0.00323763	0.00422334
à	0.00269323	0.871223	0.048705	0.0334576	0.00962475	0.00530957	0.00484493	0.00124503	0.00608682	0.00169984	0.00112263	0.00788744	0.000357892	0.00129522	0.00444702
n	0.000537267	0.00616204	0.976463	0.00730501	0.00805886	0.000483406	1.76594e-05	0.000382496	5.58212e-06	5.07201e-05	0.000132009	1.03104e-05	2.08151e-05	0.000243446	0.000127468
