 	le	ragazze	vogliono	guardate	</S>
t	0.973179	0.000257195	0.00446737	0.00977689	0.0123193
a	0.982667	0.000166541	0.0119819	0.00312115	0.00206347
k	0.784641	0.122115	0.0908938	0.00231549	3.51702e-05
o	0.0798482	0.419564	0.315066	0.0652952	0.120227
r	0.229946	0.751579	0.0137039	0.00385101	0.000919894
à	0.0224704	0.181008	0.164746	0.311969	0.319807
s	0.0105711	0.180966	0.267576	0.14273	0.398157
i	0.0836379	0.184058	0.636756	0.0845895	0.0109587
a	0.0223651	0.227371	0.725777	0.0240884	0.000398582
t	0.000201705	0.010293	0.980181	0.00733697	0.00198749
è	0.0012653	0.0103801	0.743573	0.186321	0.0584604
l	1.07602e-05	0.00108047	0.816369	0.0471649	0.135375
o	0.000305083	0.00651587	0.901017	0.0882642	0.00389792
n	0.000588259	0.00646977	0.162212	0.806122	0.0246075
e	0.000792013	0.00167445	0.0778158	0.719319	0.200399
k	0.000684149	0.00337396	0.0413998	0.758659	0.195883
a	0.00074146	0.000966177	0.0103762	0.766074	0.221843
n	0.00118032	0.00384469	0.0169076	0.525873	0.452195
o	0.000470798	0.000744955	0.00507833	0.755493	0.238213
n	0.00211014	0.00626624	0.00712492	0.426004	0.558494
i	0.000554779	0.000809059	0.00283929	0.798611	0.197186
m	0.00252424	0.00700494	0.00401945	0.392465	0.593987
m	0.000597487	0.00083054	0.00243796	0.846891	0.149243
è	0.00236023	0.00489484	0.00522246	0.256866	0.730656
n	0.00703013	0.0201323	0.00513064	0.334195	0.633512
a	0.000578431	0.00033555	0.00291625	0.986947	0.00922235
</S>	0.000732987	0.00156171	0.000863001	0.132367	0.864475
