 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
o	0.998652	0.000134723	0.000181706	3.34421e-05	3.06969e-05	2.36506e-05	1.71846e-05	1.02319e-05	0.000104083	0.000812325
l	0.922902	0.0340413	0.029171	0.00514022	0.00590952	0.000644768	0.00187782	0.000115628	0.000123463	7.38862e-05
ì	0.0496831	0.0482011	0.0746726	0.4959	0.0194026	0.205797	0.0110659	0.00537746	0.01952	0.0703798
k	0.0298161	0.735567	0.0661931	0.109843	0.00161735	0.0409979	0.00206713	0.00311282	0.00399163	0.00679438
o	0.370762	0.334362	0.263046	0.0255438	0.00553105	0.000317005	0.000129256	6.16533e-06	4.42774e-05	0.000257946
e	0.0732042	0.191325	0.701257	0.0156529	0.017681	2.10001e-05	0.000823425	2.07819e-05	1.11025e-05	3.5195e-06
n	0.00141859	0.014446	0.41179	0.558348	0.0106815	0.00164437	0.000723556	6.13141e-05	0.000285372	0.000600605
p	0.00049755	0.0011438	0.010366	0.918082	0.0208109	0.0144734	0.0127053	0.00620549	0.0103438	0.00537204
r	0.111489	0.0176326	0.0383242	0.0401433	0.270977	0.0274055	0.060181	0.014829	0.01864	0.400379
a	0.00421437	0.00251334	0.00526328	0.125173	0.127026	0.0729565	0.0664475	0.0454089	0.127861	0.423136
t	0.0049254	0.00651314	0.120521	0.531443	0.232011	0.0125449	0.0625155	0.0126822	0.00566575	0.0111781
ì	0.00363526	0.00302867	0.052116	0.871341	0.0500606	0.00484115	0.00423464	0.000861942	0.00724992	0.00263048
m	0.00106058	0.0033387	0.0237107	0.255336	0.100545	0.454968	0.0475272	0.0143838	0.020287	0.0788428
à	0.00363155	0.00964521	0.00839018	0.71105	0.0187765	0.217338	0.00569013	0.0010712	0.0140852	0.0103214
i	0.000272857	0.00116478	0.00410483	0.15582	0.0683081	0.42944	0.0458965	0.0228927	0.0104222	0.261678
n	0.00159828	0.00205402	0.00436265	0.0973572	0.654034	0.177636	0.0474968	0.0040476	0.00200028	0.00941374
e	0.000118064	0.000520741	0.000290596	0.0264006	0.0376496	0.663151	0.0967447	0.0682524	0.085491	0.0213808
m	6.79659e-05	0.00042191	0.000751812	0.0014041	0.36637	0.182065	0.403708	0.0260379	0.000912153	0.0182616
m	7.06015e-05	0.000714812	0.000467524	0.0092608	0.0151504	0.711223	0.072719	0.0545993	0.107953	0.0278416
è	0.000181624	0.000591003	0.000735027	0.00343323	0.0434035	0.372087	0.15646	0.0701733	0.00565229	0.347283
n	0.000521101	0.00791984	0.00238888	0.0023464	0.0115944	0.752098	0.146825	0.021143	0.0157458	0.0394175
o	0.000198578	0.00127695	0.00062017	0.00877629	0.0485517	0.419677	0.301321	0.0380202	0.176517	0.00504139
m	0.000158143	0.000237469	0.000278221	0.000115229	0.0241914	0.00424372	0.876615	0.0825179	0.00213324	0.00951019
i	0.000117667	0.00108353	0.000459984	0.00436365	0.00416494	0.109982	0.0990165	0.436576	0.284757	0.059479
n	0.000112418	0.000409832	0.000437825	7.98612e-05	0.00909866	0.00451917	0.452286	0.394584	0.00687948	0.131592
a	2.17208e-05	0.000144854	7.75083e-05	0.000778218	0.00127586	0.0140751	0.0938723	0.651078	0.149534	0.0891424
l	0.000108754	0.000484164	0.000472094	0.000101828	0.00498492	0.00220055	0.221708	0.505917	0.0208773	0.243145
i	3.41071e-05	0.000192519	9.38893e-05	0.000952046	0.000958693	0.00584843	0.0381484	0.603647	0.247658	0.102467
p	0.000129561	0.000622323	0.000593482	0.000109024	0.00388973	0.00135437	0.115693	0.40615	0.047071	0.424387
ù	2.40773e-05	0.000135163	8.36259e-05	0.000713806	0.000628427	0.00421249	0.0242632	0.355523	0.422508	0.191908
n	3.83345e-05	0.000952286	0.000279672	0.00167219	0.00114712	0.0660553	0.0797537	0.172775	0.345342	0.331985
a	5.27343e-05	0.000446195	0.000182857	0.000936229	0.00103466	0.00453991	0.0100499	0.0402797	0.935064	0.00741362
</S>	0.000327716	0.000556309	0.000519143	8.7017e-05	0.00179814	0.000155619	0.0345804	0.0844518	0.212699	0.664825
