 	ho	cosa	a	fare	</S>
è	0.870509	0.0144713	0.0413986	0.0639672	0.00965371
c	0.0582206	0.419137	0.0839719	0.201904	0.236766
h	0.0223165	0.911485	0.0178499	0.04606	0.0022885
o	0.0164934	0.959351	0.0219098	0.0020477	0.000197861
t	0.138504	0.350699	0.501745	0.003392	0.00565951
i	0.0760365	0.663803	0.0760014	0.0582197	0.125939
k	0.0170312	0.0130694	0.955844	0.0082842	0.00577105
à	0.00741732	0.0412051	0.0812526	0.579894	0.290231
i	0.000146815	0.00285268	0.051084	0.90112	0.0447965
</S>	0.0174275	0.0260927	0.0881646	0.323169	0.545147
