 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
e	0.861474	0.135335	0.00199093	0.000328008	0.000271092	9.17108e-06	2.1111e-05	1.41656e-05	7.30955e-06	5.08618e-05	0.00049878
m	0.147245	0.843533	0.00572365	0.00220175	6.87417e-06	0.000241498	0.000474121	0.000497437	3.74644e-05	3.00769e-05	9.46695e-06
à	0.0913772	0.699926	0.0589929	0.0181998	0.00409257	0.00455001	0.0942913	0.016691	0.00641067	0.000531877	0.00493655
k	0.00684493	0.99147	0.000312459	0.000145135	0.00062962	4.28294e-05	0.000332163	0.000106021	6.82748e-05	1.16146e-06	4.76497e-05
i	0.063299	0.920489	0.0119941	0.00310453	0.000703646	0.000151124	0.000193035	2.36791e-05	1.52699e-06	7.53534e-06	3.27459e-05
n	0.293979	0.181799	0.318779	0.017512	0.00293927	0.173512	0.00327864	0.00715045	9.74627e-05	0.000937677	1.51816e-05
a	0.0179413	0.171977	0.571738	0.154605	0.028082	0.0150113	0.0220836	0.00414941	0.00143407	0.000674816	0.0123031
e	0.021788	0.0309734	0.657778	0.0829672	0.0073339	0.170811	0.00633074	0.0154576	0.000797349	0.00401611	0.00174697
k	0.00066753	0.00963659	0.816301	0.150093	0.00352665	0.00601643	0.0104245	0.00131299	0.000202778	0.000114878	0.00170356
l	0.00204055	0.00341308	0.842636	0.0709601	0.00996239	0.0333454	0.0181847	0.00405487	0.0017105	0.00222565	0.0114671
à	0.00621219	0.00395122	0.00633922	0.0343523	0.451401	0.3089	0.00638066	0.0161332	0.00316098	0.0387733	0.124396
s	0.00124341	0.0345991	0.142217	0.0330773	0.623743	0.118487	0.0259059	0.0130825	0.00144549	0.00508999	0.00110891
t	0.00110879	0.0131895	0.821274	0.0879413	0.0179229	0.0188528	0.0353642	0.00284192	0.000105745	0.00038977	0.00100946
i	0.000646309	0.0014612	0.0241797	0.00491351	0.287696	0.0517025	0.046183	0.037451	0.0387221	0.148462	0.358583
c	0.000297069	0.000463161	0.0182724	0.0776936	0.00370325	0.812162	0.0509255	0.0331948	0.000788476	0.00207879	0.000420862
e	0.000413541	0.000736765	0.0857477	0.366472	0.103001	0.280273	0.116533	0.0149636	0.00364491	0.00190653	0.0263094
e	4.74634e-05	2.46803e-05	0.0012845	0.0476445	0.0204366	0.89639	0.0180372	0.00929513	0.000281114	0.00131795	0.0052405
t	0.000108322	0.000353862	0.00197743	0.0253969	0.0104826	0.357363	0.580479	0.018472	0.00121071	0.000459756	0.00369585
è	0.000370473	8.82452e-05	0.00333411	0.00543448	0.0115576	0.712217	0.210357	0.0225482	0.0118414	0.00983337	0.0124178
l	4.19431e-05	0.00328068	0.000425092	0.00130931	0.136563	0.110343	0.649953	0.0584247	0.0065855	0.00201179	0.0310615
i	0.000228698	0.0012733	0.00320816	0.00996794	0.0229358	0.110149	0.815422	0.030672	0.00154121	0.00180726	0.00279491
t	9.04459e-05	3.87367e-05	0.000276422	0.00319947	0.00116321	0.129168	0.254413	0.582799	0.00359671	0.0112088	0.0140472
i	0.000439026	0.000149706	0.00163221	0.00109939	0.000525702	0.0621462	0.611107	0.2304	0.0498813	0.0108124	0.0318067
a	5.7645e-05	3.39921e-05	0.000109941	0.00105322	0.000286736	0.0245249	0.151508	0.773638	0.00596706	0.00833091	0.0344898
m	0.00036231	0.000746712	0.00104784	0.000629527	0.000186037	0.00524768	0.153484	0.779821	0.0391686	0.00741909	0.0118867
m	0.0010852	0.00068321	0.00323357	0.00134345	0.00110336	0.026192	0.447479	0.360391	0.053516	0.0600946	0.0448789
è	0.00055499	0.000182127	0.000591318	0.00142615	0.00301658	0.0182524	0.0540986	0.343278	0.0249523	0.10142	0.452227
n	0.0043129	0.0405061	0.00159038	0.000185308	0.00435852	0.00696858	0.0205587	0.536351	0.170894	0.159631	0.0546429
i	0.000894828	0.00077341	0.00220189	0.000314362	0.000490616	0.00215676	0.0419037	0.63054	0.246548	0.0632779	0.010898
à	8.07321e-05	3.2897e-05	4.04889e-05	6.77167e-05	3.96831e-05	0.000850962	0.00480256	0.767928	0.0813551	0.124729	0.0200727
t	0.000185008	0.00155752	0.000383942	0.00039951	0.0010089	0.000387003	0.00554951	0.370539	0.480038	0.119261	0.0206895
t	0.000251844	0.000385136	0.0005114	0.000125481	0.000215338	0.000460461	0.00418631	0.219732	0.73627	0.0312843	0.00657869
o	6.19871e-05	2.36188e-05	0.00013358	3.09032e-05	0.000292522	0.000209101	0.00391216	0.035529	0.234751	0.145175	0.579881
m	4.50192e-05	3.31308e-05	4.75567e-05	4.52951e-05	7.44417e-06	0.000128136	0.000413702	0.0244979	0.145655	0.704793	0.124333
à	0.000260366	0.000145062	0.000877915	0.000184164	0.000134008	0.000420289	0.0016233	0.0646041	0.719452	0.0770463	0.135253
s	8.00374e-05	0.000517429	0.000137452	4.28403e-05	0.000344449	8.54331e-05	0.000240509	0.0115987	0.417576	0.457013	0.112364
t	0.000232524	0.000217019	0.000642284	0.000106587	0.000114485	0.000266471	0.000836324	0.0232942	0.685004	0.271141	0.0181452
o	7.67982e-05	3.64936e-05	0.000130441	3.54921e-05	0.000276166	0.000116107	0.000598879	0.0124373	0.337831	0.182714	0.465748
r	2.85078e-05	1.78161e-05	2.91861e-05	1.61961e-05	5.09634e-06	4.0934e-05	5.0221e-05	0.00182544	0.0293887	0.760212	0.208386
a	6.12316e-05	2.05451e-05	0.00016529	3.04339e-05	2.21287e-05	8.45709e-05	0.00013824	0.00494116	0.440154	0.299134	0.255248
</S>	2.30154e-05	1.39097e-05	4.4514e-05	2.22679e-05	1.29533e-06	3.39805e-05	2.69739e-05	0.00065514	0.0287645	0.539202	0.431212
