 	perché	aveva	lavorato	molto	</S>
j	0.980656	0.0126651	0.00180677	0.00088121	0.00399126
a	0.975457	0.0145154	0.00927083	0.000296019	0.000461119
t	0.688894	0.29889	0.0120143	0.000150427	5.08015e-05
ì	0.199864	0.462704	0.246836	0.0642643	0.026332
ì	0.0730269	0.899488	0.00723644	0.00589748	0.0143511
c	0.472376	0.506232	0.00879317	0.00124934	0.0113491
h	0.135089	0.861193	0.00329382	0.000151847	0.000272758
e	0.0153956	0.975723	0.00701322	0.000623775	0.0012446
p	0.0441765	0.0266904	0.917989	0.00322836	0.00791573
o	0.0031591	0.0289358	0.509171	0.194658	0.264076
l	0.00511603	0.0355612	0.899218	0.0225735	0.037531
e	0.00202734	0.0125245	0.594256	0.257397	0.133795
m	0.00679813	0.00942999	0.246737	0.312711	0.424324
ì	0.00684438	0.0224234	0.430783	0.450809	0.0891398
s	0.00408525	0.0835336	0.10111	0.437818	0.373453
o	0.0380252	0.0390903	0.498976	0.364901	0.0590073
n	0.000926303	0.000294574	0.0126458	0.815222	0.170912
t	0.00225068	0.00267514	0.00622023	0.889425	0.0994291
a	0.00185863	0.000512991	0.0139808	0.583698	0.399949
p	0.000268873	8.87339e-05	0.00120423	0.704858	0.29358
o	0.000181365	0.000150147	0.00179772	0.91226	0.0856111
d	0.000270342	0.000130375	0.00102843	0.501179	0.497392
d	9.42751e-05	0.000170177	0.000888022	0.92442	0.074428
h	0.000304738	0.000526848	0.0157837	0.561642	0.421743
ì	0.000184708	5.60886e-05	0.00100395	0.813943	0.184813
</S>	0.010385	0.0338288	0.00196972	0.492442	0.461375
