 	non	ti	dimentichiamo	mai	</S>
e	0.702174	0.0387715	0.0373945	0.0943954	0.127265
s	0.83917	0.0528284	0.00865976	0.0975933	0.00174835
e	0.30699	0.321404	0.0249624	0.204822	0.141822
a	0.328848	0.641324	0.0225126	0.00695408	0.000361626
l	0.00582989	0.0046227	0.958754	0.0219517	0.00884224
l	0.00317243	0.140456	0.545774	0.119075	0.191523
i	0.00243343	0.0958505	0.286478	0.282834	0.332405
m	0.00241277	0.104856	0.176905	0.310805	0.405021
o	0.0101849	0.0239111	0.808324	0.0530226	0.104557
n	0.00244618	0.0227898	0.53147	0.332132	0.111162
ù	0.00526535	0.130117	0.425911	0.166082	0.272625
m	0.00049721	0.000174902	0.0151168	0.648868	0.335343
e	0.00527924	0.000767511	0.149512	0.620445	0.223996
m	0.000459051	0.000394239	0.0793935	0.857108	0.0626448
à	0.000949713	0.00354414	0.00929179	0.11356	0.872655
i	4.58062e-05	3.70555e-06	0.000337165	0.696611	0.303002
</S>	0.00218259	0.000512614	0.011087	0.088702	0.897516
