 	avete	cucinato	le	verdure	</S>
m	0.813837	0.0603887	0.0028836	0.0604672	0.0624231
a	0.292261	0.369488	0.0704823	0.19019	0.0775777
r	0.734508	0.232094	0.0242112	0.00915443	3.18811e-05
è	0.116297	0.527422	0.0249323	0.319161	0.0121879
t	0.010522	0.983138	0.000789564	0.00430958	0.00124054
s	0.0275852	0.963385	0.00487288	0.00406372	9.36879e-05
a	0.0162903	0.124816	0.0831807	0.538707	0.237006
t	0.0240056	0.119427	0.836735	0.0188376	0.000995307
o	0.00173279	0.100961	0.762821	0.0865194	0.0479655
t	0.00161727	0.0104837	0.961197	0.00916012	0.0175421
a	0.00177373	0.0209093	0.624123	0.256987	0.0962066
l	0.00271857	0.0119016	0.779443	0.0849675	0.120969
à	0.00134529	0.014231	0.0704839	0.885527	0.0284132
c	0.000103199	0.0343334	0.00444338	0.0223862	0.938734
h	0.00909769	0.166914	0.0741578	0.74346	0.0063707
a	0.00422115	0.0200227	0.146403	0.677728	0.151625
n	0.000687111	0.00110367	0.00709687	0.968829	0.0222835
a	0.00469229	0.00991704	0.00656855	0.877945	0.100877
</S>	0.000773211	0.000314656	0.00762139	0.110464	0.880826
