 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.995472	0.00280681	0.000841568	1.5267e-05	6.85303e-05	1.19321e-05	0.0001628	0.000620697
p	0.384248	0.583126	0.0263132	0.00151945	0.00474656	8.52288e-06	2.279e-05	1.48108e-05
e	0.083123	0.896291	0.00820426	0.0033807	0.00436441	4.92303e-05	0.00204528	0.00254203
t	0.886375	0.0268898	0.0740505	0.00694955	0.00568401	3.20614e-05	1.34304e-05	5.61869e-06
à	0.26534	0.0256734	0.144898	0.195261	0.096509	0.0920893	0.0791301	0.101099
c	0.154754	0.626714	0.0362986	0.00830992	0.00211411	0.00164713	0.0216389	0.148523
i	0.376774	0.0534146	0.480026	0.0355168	0.0532701	1.66393e-05	0.000255996	0.000725736
a	0.0489544	0.000123461	0.831004	0.101889	0.0178534	0.000105422	3.82558e-05	3.23922e-05
k	0.00347852	0.00233968	0.628099	0.242276	0.120256	0.000300386	0.000734671	0.0025159
è	0.0225643	0.00232171	0.219707	0.508947	0.075455	0.0557824	0.0708166	0.0444062
c	0.00373073	0.242278	0.0610078	0.168042	0.0213958	0.00405519	0.0673127	0.432178
c	0.0098726	0.0273176	0.0801966	0.539669	0.333639	0.00076556	0.00475948	0.0037801
i	0.00186963	0.00595667	0.000866318	0.00291777	0.00070355	0.00179545	0.596518	0.389372
a	0.0101708	0.000187848	0.162143	0.623388	0.136579	0.0209814	0.028179	0.018371
u	0.000306011	0.000298693	0.00465168	0.841304	0.148399	0.00119762	0.000864436	0.00297875
s	0.00153431	0.00160954	0.00407225	0.627998	0.313515	0.02751	0.015724	0.00803624
e	0.00198607	0.00048837	0.00127469	0.278438	0.0151241	0.315594	0.265732	0.121362
n	0.000652635	0.000172634	0.00225594	0.315586	0.174306	0.323877	0.0753227	0.107828
d	0.00176837	0.00157062	0.00132223	0.136135	0.0217593	0.361269	0.286206	0.18997
ì	0.000434157	0.000131859	0.00118257	0.0111429	0.00171528	0.0866226	0.424952	0.473819
n	0.00181989	0.0183917	0.00119338	0.120642	0.501157	0.0143088	0.184037	0.158451
n	0.00655521	0.0153685	0.00398136	0.24245	0.601229	0.0363691	0.0726516	0.0213948
u	4.86536e-05	0.00106727	1.43732e-05	0.00409879	0.000403749	0.000535747	0.562807	0.431025
n	0.000481284	9.30339e-05	0.000642057	0.0369077	0.116359	0.053827	0.558884	0.232805
e	0.000152425	6.56755e-05	7.80486e-05	0.00260192	0.00748423	0.344853	0.394386	0.250379
i	0.000280856	4.19489e-05	0.000397132	0.00738071	0.045335	0.315323	0.416286	0.214956
g	0.000213618	0.00031371	0.000235489	0.00116926	0.00401497	0.0556429	0.777159	0.161251
e	0.000573501	0.000235462	0.000236433	0.00313389	0.00580787	0.16385	0.722647	0.103515
n	0.000333904	6.61007e-05	0.000400708	0.00225959	0.0146766	0.179325	0.472073	0.330865
i	0.000322575	0.00022879	0.000170443	0.00109115	0.00175695	0.126411	0.729471	0.140548
t	0.000416532	4.68908e-05	0.000419848	0.00170902	0.0101295	0.154391	0.483687	0.3492
ò	0.000102128	3.25329e-05	3.35024e-05	0.00021469	0.000312925	0.0495642	0.775323	0.174417
r	0.000216365	0.0246681	9.40167e-05	0.000617532	0.00218728	0.0025615	0.526854	0.442801
i	0.00128879	0.00508599	0.000864761	0.00465227	0.021769	0.0215009	0.86965	0.0751885
</S>	0.000879078	0.000129644	0.000868193	0.00213597	0.0148938	0.00988374	0.35973	0.611479
