 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.985767	0.00428411	0.00979015	4.17851e-05	1.36567e-06	3.38808e-06	1.0756e-05	0.000101592
è	0.993091	0.00139974	0.00462486	0.000128989	1.34628e-05	1.71171e-05	0.000682762	4.19396e-05
l	0.925659	0.0157587	0.0472784	0.00835101	0.000775523	0.00100923	1.78975e-05	0.00115008
o	0.905701	0.0604876	0.0327693	0.000875184	4.81608e-06	7.91727e-06	0.000121545	3.22069e-05
k	0.40841	0.582793	0.00475271	0.00363145	0.000121794	7.28593e-05	0.00021049	8.09119e-06
a	0.0654655	0.256291	0.445928	0.0503654	0.0665476	0.0912115	0.00940575	0.0147856
i	0.0271336	0.950293	0.00747208	0.00503289	0.00395303	0.00169417	0.00176073	0.00266069
M	0.00181291	0.0907563	0.84831	0.0463641	0.00498566	0.00627369	0.000105306	0.00139237
a	0.120628	0.553475	0.212109	0.0506693	0.0146234	0.022857	0.000274708	0.0253645
r	0.0200975	0.670113	0.0387607	0.101297	0.107404	0.0418481	0.0194777	0.00100256
ì	0.0290382	0.378502	0.443817	0.0759854	0.0219606	0.0320829	0.000510804	0.0181034
a	0.0246488	0.147558	0.513227	0.308707	0.00139937	0.000631061	0.0031129	0.000715771
è	0.0161181	0.202078	0.49217	0.279584	0.00299527	0.00188538	9.89717e-05	0.00506999
n	0.000721706	0.0254436	0.206734	0.765709	0.000258287	4.9708e-05	0.000931837	0.000152451
a	0.00317629	0.0612511	0.594928	0.300057	0.00493197	0.00264111	0.03171	0.0013038
r	0.00176617	0.139286	0.00991572	0.261615	0.507555	0.028747	0.0417602	0.0093545
t	0.00515593	0.0238706	0.0561811	0.178749	0.461799	0.169353	0.0167643	0.0881279
i	0.000235831	0.0175947	0.00383223	0.00446226	0.0317255	0.0157804	0.0449481	0.881421
à	0.000252216	0.00544228	0.00137039	0.0197572	0.0132633	0.00116894	0.926502	0.0322438
v	0.00241084	0.00221729	0.0102535	0.0142714	0.00857386	0.0131982	0.94463	0.00444465
v	0.00084396	0.001153	0.00968326	0.0199948	0.0129288	0.00452113	0.946599	0.00427619
r	2.86298e-05	3.90337e-05	0.00615333	0.00460425	0.014516	0.00530381	0.0573223	0.912033
i	0.000141393	0.00084192	0.0155758	0.0110002	0.00314067	0.00408106	0.0341833	0.931036
</S>	0.000560788	0.00105384	0.000535327	0.013659	0.167258	0.147661	0.0199478	0.649325
