 	l	ho	sentito	che	viene	</S>
o	0.9007	0.014659	0.00316684	0.00119417	0.0153615	0.0649181
n	0.682416	0.256288	0.0377868	0.0214811	0.0011212	0.000907056
ì	0.00626963	0.0188695	0.532404	0.130107	0.232647	0.0797037
k	0.00231022	0.878631	0.0838345	0.00945891	0.0178815	0.00788349
u	0.084806	0.874604	0.0212781	0.0102477	0.00753883	0.00152518
s	0.123654	0.73249	0.0377142	0.103196	0.00232093	0.000624667
a	0.00100609	0.0448066	0.603771	0.311844	0.0116749	0.0268975
n	0.00995008	0.0767424	0.142879	0.654654	0.0297059	0.0860688
a	0.000256615	0.0143246	0.21331	0.669995	0.0326172	0.0694963
r	0.00334432	0.0300124	0.0241394	0.433435	0.167276	0.341793
t	0.000434506	0.0110391	0.0461182	0.416853	0.272244	0.253312
i	0.00404711	0.0189889	0.0221527	0.120128	0.0387163	0.795967
</S>	0.000415827	0.00261854	0.00307576	0.0617713	0.128991	0.803127
