 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.645155	0.296258	0.0488437	0.0013106	0.000291601	0.00163242	0.000911042	0.00559745
t	0.212748	0.768986	0.00850421	0.00414277	0.000466677	0.00510777	1.78981e-05	2.67093e-05
è	0.00227828	0.98496	0.00863697	0.00179567	0.000182735	0.000687522	4.2507e-05	0.00141605
l	0.000538769	0.998631	0.000635342	9.01906e-05	3.46931e-06	7.91735e-05	1.81632e-07	2.20466e-05
i	0.0169849	0.909471	0.0676915	0.00472988	0.000100787	0.000472225	2.04757e-05	0.000529092
f	0.0210049	0.331595	0.553945	0.0754986	0.00759073	0.0101414	0.000203817	1.99183e-05
a	0.0025556	0.284261	0.237464	0.296308	0.0616762	0.0745339	0.0029604	0.0402406
m	0.00663974	0.0369131	0.661725	0.166418	0.0886423	0.0241405	0.0113037	0.00421765
è	0.00817816	0.22031	0.329742	0.249536	0.0281828	0.0646485	0.00322569	0.0961774
n	0.00115844	0.0391525	0.509205	0.377196	0.00509187	0.0219604	0.000905866	0.0453299
o	0.00184788	0.0173554	0.613613	0.342973	0.00482038	0.0111863	0.000625937	0.007578
o	0.000861362	0.000840262	0.0747932	0.608251	0.26176	0.0358754	0.0159443	0.00167428
l	0.00220623	0.00398077	0.0209929	0.672157	0.184064	0.0955571	0.00203363	0.0190084
i	0.000656976	0.00257528	0.0141755	0.282057	0.490435	0.114638	0.0360256	0.0594363
m	0.000381944	0.000108999	0.00095151	0.0384991	0.773339	0.0815099	0.0711528	0.0340566
i	0.00319304	0.00735297	0.00941522	0.148831	0.292033	0.196946	0.0343152	0.307914
a	0.000620305	6.24614e-05	0.000394843	0.0107605	0.439375	0.0637743	0.384336	0.100676
f	0.00160312	0.00181576	0.00301137	0.0151424	0.134964	0.625756	0.0822649	0.135442
o	0.000822276	0.00199123	0.0058055	0.0211359	0.156265	0.183791	0.388673	0.241516
r	0.000295681	3.14201e-05	0.000122849	0.00110117	0.0555832	0.0342073	0.770804	0.137855
à	0.000270339	0.000502704	0.00177735	0.00674153	0.0329946	0.0326383	0.282398	0.642677
</S>	0.000390551	0.00125835	0.00300627	0.0137378	0.00667425	0.155618	0.0279561	0.791358
