 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.952139	0.0457735	0.00164917	3.20915e-05	3.29966e-06	1.3786e-05	3.95961e-06	6.28489e-06	3.57948e-05	0.000342776
a	0.0598882	0.932764	0.00652854	0.000278307	0.000221365	5.0884e-05	0.000103353	5.75384e-05	8.76464e-05	1.97556e-05
p	0.00357966	0.992757	0.00304635	0.00014704	0.000253506	1.45231e-05	4.33791e-05	1.50106e-05	2.2099e-05	0.000121814
e	0.0132535	0.909942	0.0155408	0.0245922	0.0108961	0.00729352	0.00313996	0.00402593	0.000843323	0.0104729
s	0.0326211	0.918176	0.0180809	0.0130239	0.00630626	0.00402884	0.00184349	0.00496552	0.000316192	0.000637705
a	0.014504	0.800867	0.0210493	0.0689403	0.0152345	0.0192334	0.00419937	0.00642593	0.0020087	0.0475378
m	0.0606481	0.562385	0.193301	0.0643852	0.0480699	0.0235032	0.00942971	0.0246023	0.00290294	0.0107721
m	0.017519	0.916617	0.0381445	0.00399842	0.0100159	0.000686037	0.000669448	0.000917251	0.00103895	0.0103934
è	0.02774	0.500982	0.0718839	0.130002	0.0472071	0.104108	0.0211929	0.051902	0.0105178	0.0344643
n	0.00393457	0.810402	0.0727857	0.0753867	0.0072826	0.0112037	0.00736424	0.00193064	0.00114983	0.00855976
o	0.0114794	0.677422	0.280383	0.00841555	0.0170508	0.000407412	0.0014482	0.000246611	0.00140834	0.00173824
o	0.00329882	0.040755	0.898512	0.0200633	0.0269117	0.00161712	0.00391928	0.00341262	0.000556036	0.000954469
k	0.000485128	0.0200477	0.739402	0.159751	0.0472279	0.00919897	0.0035313	0.00407022	0.00125766	0.015028
l	0.000915308	0.0171959	0.256661	0.350905	0.168108	0.0847711	0.0550796	0.0291123	0.0082311	0.0290212
è	0.0136544	0.0166491	0.0513094	0.21942	0.135356	0.264426	0.0135303	0.0424075	0.0425592	0.200687
o	0.000788104	0.0680091	0.0986495	0.404007	0.014112	0.0444749	0.0607824	0.00586901	0.0862689	0.217039
n	0.000280283	0.00336085	0.412346	0.0458582	0.532063	0.000233323	0.00405644	0.00028706	0.000138666	0.00137602
e	6.19789e-05	0.0012376	0.0344088	0.492268	0.0829606	0.110947	0.0648075	0.0154666	0.0314622	0.16638
o	2.75344e-05	0.000263479	0.0211927	0.432148	0.416786	0.0604653	0.0434133	0.0142853	0.00518883	0.00622959
k	6.30859e-05	0.00111709	0.00147005	0.238633	0.303823	0.260204	0.15044	0.0164535	0.00364357	0.0241526
l	0.000123725	0.000736587	0.00521673	0.147188	0.228917	0.264649	0.280931	0.0186218	0.0131323	0.0404851
è	0.00117426	0.000738407	0.0667908	0.0532687	0.0517385	0.182309	0.041395	0.0842921	0.176947	0.341346
o	0.000345967	0.00538189	0.00112868	0.0700275	0.0504235	0.0737876	0.527714	0.0155134	0.121013	0.134664
n	0.000231098	0.00201821	0.00216576	0.0038273	0.247274	0.0199099	0.645475	0.066221	0.00461383	0.00826399
e	1.6311e-05	0.000199664	0.000199647	0.0117334	0.0265138	0.223335	0.49716	0.0214011	0.105694	0.113747
ò	1.35319e-05	7.61558e-05	0.000210174	0.00609024	0.0338212	0.315637	0.236712	0.345942	0.0423806	0.0191172
l	0.000260431	0.00250369	0.000258475	0.00503589	0.0108968	0.0448896	0.403576	0.314188	0.163251	0.0551395
i	0.000128865	0.00265895	0.000460329	0.00961593	0.0310758	0.0537454	0.56612	0.20158	0.0946197	0.0399951
i	3.07954e-05	0.00010883	0.000209033	0.00214127	0.0169953	0.0428058	0.0356598	0.587603	0.240463	0.0739828
f	4.53641e-05	0.000725573	0.000109868	0.00134198	0.000899429	0.00472102	0.00842408	0.21171	0.604342	0.16768
a	0.000108068	0.000492648	0.000363107	0.00123123	0.0063569	0.00747712	0.0336489	0.180308	0.652033	0.117981
m	1.10077e-05	0.000105728	5.97382e-05	0.00110688	0.00169929	0.0146414	0.0037155	0.228862	0.652818	0.0969798
i	2.35907e-05	0.000328476	9.8373e-05	0.00141788	0.00132471	0.00631993	0.010224	0.0930662	0.639597	0.2476
l	9.47231e-05	0.000262492	0.000320377	0.00220948	0.00475522	0.0127534	0.00351004	0.206889	0.524745	0.244461
i	3.30936e-05	0.000262533	0.000143482	0.00184704	0.00160188	0.00602992	0.00427157	0.0567203	0.638085	0.291005
à	8.40855e-05	0.000245821	0.000256885	0.00211336	0.00233752	0.00870578	0.00224776	0.0940499	0.583245	0.306714
r	6.17316e-05	0.00135666	6.93214e-05	0.000912894	0.000103624	0.000316571	0.00060152	0.0124368	0.411126	0.573014
i	0.000155523	0.00284634	0.000444731	0.00477879	0.0105544	0.0120875	0.0596221	0.333349	0.451435	0.124727
</S>	4.55551e-05	0.000122461	0.000120681	0.000533881	0.000798603	0.00190013	0.000719948	0.0311495	0.163613	0.800996
