 	non	aveva	cosa	a	fare	</S>
e	0.751218	0.0871923	0.067142	0.00958202	0.0740419	0.010824
n	0.855137	0.0910322	0.00468015	0.0420591	0.00690307	0.000188476
ì	0.012921	0.54766	0.243065	0.0690922	0.11929	0.00797123
c	0.000746198	0.996844	0.000912659	0.000935637	0.000487782	7.40159e-05
h	0.0305569	0.766234	0.0925034	0.0402359	0.0694159	0.00105397
e	0.000665742	0.957872	0.0263135	0.010158	0.00291997	0.00207121
t	0.00234128	0.00388596	0.946185	0.042347	0.00130449	0.00393592
i	0.000160821	0.0078881	0.891934	0.0502159	0.00676916	0.0430322
k	0.00100982	0.00268923	0.0490042	0.919463	0.00814051	0.0196935
à	0.00734968	0.0672167	0.141549	0.254952	0.31192	0.217013
m	0.000138445	0.00726176	0.00461332	0.156356	0.747689	0.0839412
i	0.00485686	0.0167749	0.0516481	0.466555	0.442133	0.018032
</S>	0.000981448	4.88339e-05	0.00101376	0.0651543	0.153545	0.779257
