 	il	vestito	della	sposa	vuole	bianco	</S>
t	0.999162	0.000653195	0.000102558	5.69294e-06	1.2719e-05	2.15164e-06	6.14065e-05
o	0.990507	0.00821578	0.000913744	0.000243508	6.38711e-05	2.35697e-05	3.24714e-05
n	0.653517	0.237658	0.102418	0.00624694	0.000107293	4.91774e-05	3.21464e-06
à	0.005889	0.833681	0.127625	0.00709733	0.012261	0.00112456	0.0123216
b	0.00427685	0.0317237	0.958179	0.000216951	0.00188146	0.000121077	0.0036007
b	0.0676461	0.0937639	0.827815	0.0103365	9.59871e-05	0.000237703	0.00010526
e	0.0361033	0.155971	0.669819	0.0630404	0.00565898	0.0481053	0.0213021
t	0.139847	0.316292	0.059536	0.480107	0.00390864	6.42842e-05	0.000245488
o	0.00640675	0.910352	0.0318061	0.027857	0.00651168	0.00114667	0.0159198
a	0.0261583	0.0977364	0.00851295	0.861599	0.00259344	0.000706179	0.00269377
t	0.000896052	0.0192234	0.0110998	0.934129	0.032613	8.00214e-05	0.00195833
s	0.00151779	0.0548378	0.00110614	0.82959	0.0649709	0.00103537	0.0469416
è	0.0932535	0.123725	0.0016846	0.235522	0.016955	0.100838	0.428022
k	0.00440123	0.0211361	0.0659099	0.16233	0.0910643	0.61566	0.0394985
o	0.00207918	0.0107721	0.0939232	0.622288	0.058065	0.208645	0.00422723
r	0.00786439	0.0110815	0.000170083	0.761694	0.121077	0.0557068	0.0424067
à	0.000242891	0.00784666	0.00059431	0.0461749	0.737623	0.00847919	0.199039
s	0.000202429	0.000365888	0.0134422	0.00602433	0.319105	0.539043	0.121817
i	0.000458169	0.00575575	0.00228929	0.0343118	0.708257	0.200924	0.0480031
t	0.0024704	0.001814	0.000127107	0.0737173	0.381782	0.482901	0.0571876
è	0.000109789	0.000893898	0.000147703	0.00106277	0.777196	0.0164883	0.204101
l	1.14977e-05	2.04898e-05	0.00597086	3.88409e-05	0.166112	0.750563	0.0772834
i	0.000103655	0.000791724	0.00110288	0.00130485	0.557366	0.400798	0.0385333
à	0.000482176	0.000608532	5.41881e-05	0.0021866	0.0374202	0.67285	0.286398
s	5.2963e-05	0.000173532	0.000899842	5.50552e-05	0.00977982	0.970623	0.0184154
p	0.000120158	0.00048775	0.000658169	0.000336965	0.020374	0.960249	0.0177743
r	9.0596e-05	0.00053523	9.27929e-05	0.000320181	0.0216527	0.0476534	0.929655
o	0.00058269	0.00327287	0.000307446	0.00196278	0.0275673	0.056202	0.910105
</S>	0.000202455	0.000527295	6.35195e-05	0.000384521	0.00848443	0.00917669	0.981161
