 	voglio	che	Maria	viene	domani	</S>
t	0.998613	0.000326313	0.000714414	1.5592e-05	2.63739e-05	0.00030403
è	0.991813	0.00112488	0.00154612	0.000172706	0.00510335	0.000240157
l	0.895194	0.0230641	0.0774596	0.00202835	6.38153e-05	0.00218975
o	0.907188	0.0581175	0.033638	0.000415332	0.000545555	9.54673e-05
e	0.532907	0.461273	0.00419533	0.000252108	0.00132749	4.48614e-05
M	0.00519968	0.340761	0.639905	0.0124818	0.000238051	0.00141454
a	0.156607	0.560696	0.179131	0.0548322	0.00125258	0.047481
r	0.0735247	0.882452	0.0224669	0.0103195	0.0105676	0.000669219
ì	0.0572345	0.531069	0.326345	0.0595621	0.00147206	0.0243171
a	0.106266	0.214563	0.57515	0.0321544	0.0618279	0.0100393
n	0.0236936	0.404194	0.563151	0.00295356	0.000524122	0.00548355
a	0.0129077	0.370865	0.375078	0.129508	0.0356199	0.0760214
r	0.012419	0.820117	0.0148048	0.0180151	0.129827	0.00481658
t	0.0287204	0.506581	0.251151	0.0855213	0.0405836	0.0874421
i	0.00684053	0.169215	0.00396742	0.00369307	0.0127882	0.803496
à	0.000553687	0.0382497	0.00257897	0.00650213	0.94335	0.00876565
v	0.000895725	0.000649266	0.00791476	0.273322	0.69828	0.0189382
v	9.66168e-05	0.000192874	0.00140128	0.364856	0.631815	0.00163787
r	2.44384e-05	0.000134565	0.00585914	0.188981	0.0559946	0.749006
i	0.000147048	0.00269408	0.0151502	0.0925362	0.0407672	0.848705
</S>	0.000805374	0.00236039	0.00100702	0.0253138	0.0059053	0.964608
