 	il	morto	si	piange	</S>
o	0.965713	0.0281797	0.00311387	0.000226371	0.00276702
a	0.0504764	0.947411	0.00194626	0.000153973	1.21172e-05
p	0.002252	0.973322	0.0237527	0.000438229	0.000235213
e	0.0124624	0.896595	0.0410751	0.00231183	0.0475558
t	0.0607898	0.922957	0.00460313	0.00140692	0.0102435
a	0.0171034	0.757625	0.0574009	0.0104711	0.1574
m	0.0659944	0.796057	0.0173361	0.0235208	0.0970912
m	0.0101409	0.912906	0.0614991	0.00263579	0.0128183
è	0.0570581	0.497584	0.0151926	0.169582	0.260583
n	0.00188559	0.493086	0.387435	0.100397	0.0171959
o	0.00338657	0.528575	0.415639	0.0514579	0.000940829
i	0.0166106	0.547917	0.316571	0.0252736	0.0936284
k	0.000801804	0.0793525	0.873464	0.00629371	0.040088
l	0.00366272	0.12989	0.308479	0.0255901	0.532379
è	0.02602	0.0158866	0.000800718	0.455161	0.502132
e	2.44996e-05	0.00393364	0.025038	0.961449	0.00955446
t	0.0010814	0.0497312	0.86357	0.0367094	0.0489076
e	2.89675e-05	0.000353081	0.0115347	0.406081	0.582002
</S>	0.000118379	0.00341221	0.00662754	0.292383	0.697459
