 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.97603	0.0168355	0.00185906	0.000666429	0.000183748	0.000209407	0.000240307	0.00397525
è	0.967457	0.0238387	0.002716	0.00320584	4.31963e-05	0.00141033	0.000260184	0.0010689
o	0.827318	0.152559	0.00947643	0.00149163	0.000103139	0.00646602	0.00045843	0.00212683
p	0.462197	0.474411	0.0610219	0.00171211	9.31756e-05	0.00014341	9.67721e-05	0.000325412
p	0.096341	0.722592	0.0341547	0.098722	0.00140496	0.0254947	0.00551586	0.0157753
ò	0.0379666	0.59418	0.194775	0.0331448	0.093881	0.00676431	0.00531656	0.0339716
r	0.0302874	0.172574	0.703537	0.0579752	0.0126588	0.018331	0.00403947	0.000597488
k	0.0269149	0.0530722	0.904913	0.0125085	0.000760218	0.00131237	0.000308078	0.000210554
e	0.0230988	0.0968767	0.0564232	0.661665	0.00660279	0.0611493	0.0283881	0.0657955
t	0.000289181	0.00829546	0.888803	0.032685	0.0692906	0.000436904	0.000166482	3.31391e-05
e	0.000748872	0.00402935	0.524316	0.418796	0.0200834	0.00863297	0.00756673	0.0158264
e	6.05111e-05	0.00101224	0.624884	0.231526	0.136606	0.00117343	0.000211135	0.00452577
t	0.000765323	0.000685343	0.038182	0.685103	0.210759	0.0551555	0.00382328	0.0055275
r	0.0009587	0.00146428	0.0133803	0.317597	0.596076	0.0292954	0.0218372	0.0193916
ò	0.000109559	0.00378961	0.0615048	0.0369801	0.602983	0.00334626	0.00724584	0.284041
o	0.00395115	0.00154127	0.030509	0.0872696	0.41959	0.391783	0.0558457	0.00951015
p	0.00963502	0.00422541	0.0141283	0.0220167	0.116702	0.791726	0.0374055	0.00416084
ò	0.00412011	0.00300893	0.00670494	0.0177132	0.0961952	0.598196	0.226163	0.0478979
s	0.000534355	7.83649e-05	0.000665416	0.00599404	0.00433831	0.783271	0.100872	0.104247
s	0.00240831	0.000521044	0.00300657	0.00124775	0.0039606	0.83711	0.150294	0.0014522
a	0.000398228	0.000385806	0.000568253	0.0082906	0.0331724	0.17178	0.37766	0.407745
t	0.00038933	0.00118974	0.00155174	0.00831052	0.0326046	0.0585463	0.478771	0.418637
è	0.000426313	0.000414081	0.000497773	0.000849183	0.00230775	0.139844	0.629676	0.225984
l	0.00131381	0.000201737	0.000753772	0.000936442	0.000583868	0.133025	0.735548	0.127637
o	0.00109381	0.000259854	0.0011037	0.000472358	0.000275279	0.102414	0.892052	0.00232949
</S>	0.000143344	0.000286056	0.00033709	0.000677052	0.000362416	0.001735	0.17291	0.823549
