 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.475005	0.523609	0.00132754	4.20774e-06	7.98427e-07	1.19071e-06	6.28178e-07	1.84968e-06	4.9991e-05
k	0.565253	0.432301	0.00136655	0.000771189	3.8872e-05	0.000235761	2.30485e-05	3.78192e-06	7.52321e-06
à	0.122909	0.420555	0.37613	0.0100269	0.0164401	0.0379727	0.00321809	0.000963285	0.0117842
j	0.0018091	0.996257	0.00169409	9.11036e-06	7.04828e-05	0.000122103	1.00669e-05	4.95671e-06	2.34376e-05
o	0.100082	0.888134	0.0109963	0.000683783	2.29982e-05	6.342e-05	6.25848e-07	1.64755e-06	1.56823e-05
t	0.83159	0.0297646	0.111671	0.0260221	7.76113e-05	0.000599173	0.000245079	8.54311e-06	2.13866e-05
r	0.0184849	0.0115195	0.745533	0.0688194	0.0730068	0.0304497	0.0259767	0.0119414	0.0142687
a	0.0952274	0.00823253	0.0803255	0.533296	0.0846782	0.00495874	0.0226018	0.00508314	0.165597
ù	0.033992	0.0123939	0.572689	0.349083	0.00607677	0.00807026	0.010004	0.000340586	0.00735096
d	0.00158635	0.0192895	0.971042	0.00577367	0.00116204	0.00106512	1.11594e-05	1.51682e-05	5.46984e-05
i	0.00149576	0.00682604	0.969957	0.0108954	0.00371888	0.00691713	3.67441e-05	8.29219e-05	7.03203e-05
a	0.0103959	0.000340962	0.0180244	0.959571	0.00466665	0.00421206	0.00165879	8.33205e-05	0.0010471
a	0.000186283	0.000657524	0.0120616	0.966999	0.0129474	0.00576314	0.000446167	9.07462e-05	0.000848014
s	0.00051941	0.000845545	0.00429183	0.773653	0.136321	0.0803721	0.00287925	0.000233585	0.000883791
ò	0.000316651	0.000259041	0.00701629	0.231989	0.706649	0.0243948	0.0163809	0.00350939	0.00948556
z	7.56588e-06	0.00191298	0.00278896	0.000416904	0.9592	0.0314509	0.000206479	0.000400264	0.00361644
i	0.00110856	0.0103351	0.0290674	0.271958	0.350964	0.326324	0.00290898	0.00505021	0.00228312
g	0.0014946	7.93191e-05	0.000228656	0.438162	0.184108	0.279963	0.0683561	0.00140789	0.0262005
r	0.000240163	0.000507599	0.00292396	0.03091	0.799339	0.110936	0.0300429	0.0109699	0.0141303
à	0.00112443	3.623e-05	0.00116755	0.0685887	0.491089	0.0148668	0.0333688	0.0321485	0.35761
t	0.00025881	0.00424358	0.00365224	0.00456523	0.179372	0.759065	0.0116601	0.0205824	0.0165998
s	0.000100542	0.000308863	0.00168507	0.00435969	0.110931	0.853164	0.0154811	0.0120091	0.00196063
i	3.60263e-05	5.5749e-05	0.00406703	0.00193198	0.364391	0.0440551	0.0228105	0.104451	0.458201
i	0.000294734	8.7945e-05	5.48151e-05	0.0237587	0.00285282	0.0704388	0.755186	0.00617731	0.141149
n	0.000323065	0.000686864	0.000997511	0.00262405	0.0072227	0.508733	0.449232	0.0171943	0.0129874
ì	0.00038406	0.000470531	0.00184281	0.0024758	0.0285043	0.169854	0.63923	0.0630064	0.0942327
t	8.92586e-05	0.0049018	0.0137855	6.17339e-05	0.0494994	0.550909	0.138683	0.164958	0.0771125
t	0.000574535	0.00241309	0.00515417	0.000608276	0.0038562	0.250953	0.480212	0.250905	0.00532296
a	4.58037e-05	0.00012156	0.00167911	0.000322565	0.0664492	0.0216016	0.0474208	0.354059	0.508301
</S>	0.00020824	6.59634e-05	5.78793e-05	0.00150804	0.000271104	0.00301672	0.324644	0.0448262	0.625402
