 	hai	già	mangiato	</S>
è	0.92537	0.0125322	0.0431229	0.0189748
c	0.32877	0.158109	0.0294229	0.483698
h	0.991569	0.00507541	0.00143678	0.00191931
i	0.955794	0.040854	0.00237605	0.000976106
g	0.11967	0.855965	0.0209796	0.00338606
i	0.117725	0.609639	0.106517	0.166119
à	0.0155002	0.976608	0.00548592	0.00240604
f	0.0200273	0.030083	0.930041	0.0198487
a	0.0150445	0.0300409	0.949882	0.00503244
m	0.000509575	0.0447589	0.787587	0.167145
è	0.00579961	0.00520224	0.748275	0.240723
n	0.00637722	0.000320947	0.874987	0.118315
a	0.0159934	0.00292344	0.964664	0.016419
</S>	2.29035e-05	0.000656592	0.0950803	0.90424
