 	può	che	sono	ancora	svegli	</S>
i	0.724769	0.190249	0.0438189	0.00770493	0.00250032	0.0309579
s	0.349357	0.495839	0.0217138	0.129288	0.00373279	6.87844e-05
ò	0.956066	0.0231403	0.0147084	0.00479271	0.000277269	0.0010154
z	0.422717	0.548764	0.0266359	0.000179312	9.01164e-05	0.00161398
i	0.0381066	0.89324	0.0413027	0.0213507	0.00588181	0.000118022
k	0.000568657	0.948548	0.0192163	0.0169651	0.0146806	2.08849e-05
a	0.0148498	0.341675	0.36602	0.0461582	0.195272	0.0360253
ì	0.000308475	0.469591	0.165891	0.109155	0.249186	0.00586921
n	0.00144568	0.0144397	0.92252	0.0430966	0.0183975	0.00010053
e	0.00151248	0.013244	0.957849	0.0136092	0.0137011	8.44242e-05
a	4.84078e-05	0.0271054	0.129186	0.683443	0.157602	0.00261484
n	0.000496461	0.00375151	0.0330177	0.84642	0.115708	0.00060633
k	0.00313029	0.0174811	0.0540486	0.157798	0.662236	0.105306
ò	0.000149221	0.0022457	0.0144942	0.0030953	0.0238331	0.956182
r	0.0956289	0.0107923	0.578732	0.0117038	0.0546579	0.248485
a	0.0128723	0.00641133	0.324751	0.59039	0.0543912	0.0111849
a	6.17816e-05	0.003443	0.00464479	0.834994	0.0990925	0.0577641
t	0.00145403	0.00595997	0.0103587	0.0793325	0.875575	0.0273192
s	0.00235781	0.00580487	0.00401513	0.00961733	0.622279	0.355926
ù	3.63598e-05	0.000588576	0.0010222	0.0271973	0.00431703	0.966838
n	0.00825205	0.0107054	0.0404673	0.0864168	0.640426	0.213732
n	0.0604666	0.032645	0.0732624	0.127781	0.670662	0.035184
i	0.00513905	0.000329373	0.0205831	0.00126796	0.0020937	0.970587
t	3.84514e-05	0.00140237	0.000690932	0.111409	0.479842	0.406617
i	0.000138025	0.000160332	0.000420443	0.000442573	0.0514664	0.947372
</S>	1.629e-05	0.000421161	0.000126241	0.0119245	0.188429	0.799083
