 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	0.994375	0.00511149	0.000340461	1.2933e-05	2.19874e-05	3.86913e-06	1.77438e-05	0.000116486
s	0.999679	5.67348e-05	0.000115088	2.00552e-05	5.58526e-05	5.49193e-06	7.09116e-06	6.10347e-05
o	0.992639	0.00496087	0.00218545	9.98735e-05	5.55748e-05	1.16768e-06	3.01601e-05	2.76376e-05
t	0.949142	0.048709	0.00166348	0.000445654	3.45579e-05	2.08024e-06	2.9557e-06	4.32544e-07
r	0.225377	0.547118	0.0898488	0.0690039	0.0170329	0.0270346	0.0055901	0.0189953
a	0.862929	0.0853231	0.0084236	0.00922652	0.00736166	0.0056032	0.0100577	0.0110751
ù	0.0485882	0.916137	0.02063	0.0102406	0.00230702	0.000667959	0.000741212	0.000688265
d	0.00167264	0.810218	0.185799	0.0016621	0.000563046	1.44735e-05	4.93938e-05	2.09422e-05
i	0.00186721	0.537357	0.453399	0.00649115	0.000733194	9.91708e-06	0.000106011	3.64217e-05
ì	0.0165675	0.140939	0.751581	0.0773038	0.0100572	0.000170833	0.00221211	0.00116888
r	0.000337005	0.0284484	0.942951	0.0262824	0.00176909	2.82853e-05	0.000138396	4.56576e-05
t	9.46936e-05	0.0153958	0.93769	0.0420382	0.00460016	2.26995e-05	0.000133103	2.57234e-05
e	0.000214205	0.142381	0.198711	0.142523	0.197129	0.0225588	0.105599	0.190884
g	0.000953258	0.00769159	0.0738796	0.878074	0.0336663	0.000483117	0.00344027	0.00181158
r	0.000243884	0.0109185	0.507101	0.384777	0.0541277	0.0112862	0.00632619	0.025219
a	0.00257026	0.0132029	0.0236322	0.0715924	0.0512402	0.0137453	0.0674486	0.756568
m	0.000120691	0.000987348	0.0125757	0.759019	0.142618	0.00664376	0.0130537	0.0649816
m	0.0010283	0.00433384	0.037332	0.866184	0.0689422	0.00446597	0.0097053	0.00800902
è	0.000385813	0.00246213	0.00810256	0.0980949	0.100773	0.0386647	0.0470115	0.704505
n	0.00696883	0.0212468	0.0223044	0.113757	0.707746	0.0214107	0.0901607	0.016406
o	0.00101027	0.00889616	0.0441961	0.483659	0.438421	0.00373754	0.0187325	0.00134673
t	0.00093165	0.00055259	0.00116837	0.278023	0.649766	0.00613905	0.0265841	0.0368351
è	0.000612954	0.00216516	0.00410081	0.0735794	0.690469	0.089238	0.0506116	0.0892226
s	2.50658e-05	0.00135258	0.0039868	0.0352207	0.928214	0.00301095	0.0074714	0.020718
s	0.000278144	0.00260262	0.00798825	0.124073	0.789993	0.0251951	0.0402189	0.00965113
e	3.42307e-05	0.00137544	0.00239401	0.073808	0.0817332	0.0532371	0.577912	0.209506
r	0.000572217	0.000476245	0.000345299	0.012486	0.119655	0.373595	0.318157	0.174713
u	6.28546e-05	0.000679513	0.000692466	0.0151998	0.251475	0.207615	0.130245	0.394029
c	0.000278014	0.000212716	9.7102e-05	0.0030346	0.062295	0.279577	0.175828	0.478678
h	0.000196022	0.00148665	0.000889846	0.00342994	0.0361408	0.535385	0.154859	0.267612
r	0.000278671	0.000341724	9.73219e-05	0.00122965	0.0162521	0.215515	0.0997385	0.666547
ò	4.31866e-05	0.000284596	0.00014674	0.00102722	0.00688572	0.308529	0.316834	0.36625
n	0.000239454	0.00406384	0.00476017	0.00199368	0.0363492	0.126672	0.666159	0.159763
u	0.00213709	0.0140345	0.0277121	0.0156231	0.0584696	0.323277	0.539979	0.018768
a	0.00019172	0.000121901	3.54884e-05	0.000171041	0.000916336	0.101449	0.66737	0.229745
m	8.15417e-05	0.000730793	0.000346192	0.000432447	0.000948667	0.095125	0.741264	0.161071
p	0.000508067	0.00273226	0.0010966	0.00188677	0.00551251	0.663813	0.272458	0.0519921
ì	0.000332726	0.000542531	0.000125723	0.000471645	0.00126621	0.0781856	0.0969737	0.822102
</S>	0.000350043	0.00209534	0.00321094	0.000982152	0.00592014	0.0122793	0.84823	0.126932
