 	non	mi	aspetti	non	vengo	</S>
m	0.0446372	0.204868	0.0223113	0.00895425	0.674485	0.0447444
ì	0.0150033	0.0295628	0.490671	0.0062779	0.324309	0.134176
m	0.00842143	0.959288	0.0150493	0.000621822	0.0144447	0.00217505
e	0.0233986	0.556561	0.345781	0.00317769	0.0643291	0.00675301
m	0.0570212	0.808018	0.0930745	0.0399804	0.00187982	2.6419e-05
ì	0.0007137	0.00615474	0.694469	0.0102941	0.264188	0.024181
n	0.000118201	0.0614168	0.797552	0.00654052	0.121812	0.0125601
i	0.00104845	0.00525166	0.959556	0.0165671	0.016064	0.00151258
e	0.00157363	0.0125792	0.016621	0.95311	0.0138537	0.00226291
n	0.0157287	0.0188874	0.0557411	0.171043	0.689974	0.0486256
è	0.00276997	0.0169109	0.006096	0.0131645	0.769477	0.191581
r	5.69653e-05	0.00260022	0.0188858	0.000847132	0.871841	0.105769
k	0.00531929	0.0221153	0.0467247	0.00871191	0.897224	0.0199046
o	2.72037e-06	0.000110169	0.0236349	6.49949e-05	0.868295	0.107893
m	0.000699961	0.00101802	0.000383481	0.00503592	0.867777	0.125085
e	0.000436437	0.00164404	0.00259973	0.000920943	0.312948	0.681451
</S>	0.000342876	0.000354596	8.642e-05	0.000874452	0.100056	0.898285
