 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.95053	0.0277324	0.000952516	0.000970156	0.00110563	0.00210055	0.00627439	0.0103346
ì	0.998988	0.000208706	0.00050232	1.32627e-05	5.5421e-05	1.82382e-05	0.000110841	0.000102758
n	0.999388	0.000437307	0.000111889	3.34632e-06	2.24884e-05	5.7648e-06	1.68761e-05	1.4126e-05
i	0.882755	0.0963034	0.00981474	0.00101271	0.00989852	1.2999e-05	0.000147149	5.56161e-05
e	0.0540639	0.805096	0.0853548	0.014909	0.0404079	0.000141157	2.55964e-05	1.6198e-06
n	0.109259	0.46944	0.339808	0.0254238	0.0530303	0.00127344	0.00120194	0.000563869
è	0.00722485	0.0134746	0.86075	0.0326214	0.0535586	0.0129654	0.00773861	0.0116661
r	0.0888357	0.0675247	0.733279	0.0206598	0.0499536	0.00329287	0.00986897	0.0265853
k	0.0144368	0.0309503	0.745261	0.0250097	0.172569	0.000718369	0.010433	0.000621873
o	0.0236091	0.001584	0.202561	0.00185147	0.0114971	0.00210603	0.455539	0.301252
t	6.00475e-05	0.0265722	0.51436	0.164475	0.278532	0.00558115	0.0092397	0.00117973
t	0.000719941	0.00063425	0.773815	0.0416124	0.0599974	0.0129577	0.0328607	0.0774026
e	4.47572e-05	0.0011607	0.106213	0.0529121	0.0663759	0.0415738	0.520325	0.211395
e	2.31688e-05	0.00230319	0.39766	0.306989	0.22384	0.0106149	0.0436962	0.0148725
t	0.00137171	0.00283846	0.083468	0.14667	0.708921	0.00873825	0.0367326	0.0112598
u	0.00547265	0.00118289	0.0874531	0.0462289	0.496457	0.126023	0.10141	0.135772
s	7.74065e-05	0.00194727	0.0118928	0.218343	0.373564	0.0485747	0.269538	0.076063
m	0.0153062	0.00286205	0.0500046	0.023718	0.176529	0.160024	0.313248	0.258307
è	0.000505675	0.00176059	0.00817487	0.0458944	0.036495	0.0261596	0.148068	0.732942
n	0.145628	0.0260462	0.0146478	0.00677468	0.198653	0.238014	0.286215	0.0840214
o	0.105193	0.00451012	0.0547716	0.0107117	0.746781	0.00387209	0.0609533	0.0132073
m	5.27385e-05	0.00123291	0.00263462	0.0188417	0.217632	0.0394145	0.635544	0.0846472
e	0.0697655	0.00562869	0.0295889	0.00869901	0.0793349	0.0373178	0.342747	0.426918
t	4.38489e-05	0.00100875	0.00045101	0.00548437	0.0292838	0.037859	0.398883	0.526986
r	0.000858142	0.000147853	0.00139218	0.000392475	0.00401132	0.00828429	0.251599	0.733315
ò	4.30004e-05	0.000728147	0.000736673	0.00969073	0.0110468	0.00618105	0.0486172	0.922956
m	0.00959666	0.00371403	0.00363641	0.00411251	0.0214753	0.100222	0.670891	0.186353
e	0.45262	0.00350168	0.0168087	0.00115525	0.0176166	0.00451289	0.44071	0.0630749
</S>	6.38428e-05	0.00194454	0.000912345	0.00402661	0.0268348	0.154524	0.356677	0.455016
