 	sono	stato	sempre	poveretti	</S>
ì	0.962712	0.00303966	0.00210907	0.00822758	0.0239117
m	0.641464	0.195567	0.0207895	0.0227443	0.119435
e	0.207289	0.782757	0.00646383	0.00124769	0.00224249
s	0.0594663	0.940386	0.000145267	1.38864e-06	9.04299e-07
t	0.0825064	0.840875	0.0505386	0.00822753	0.0178527
a	0.131639	0.471606	0.0198668	0.016423	0.360465
m	0.0403392	0.939656	0.0118113	0.000188114	0.00800528
m	0.019159	0.328438	0.37645	0.102452	0.173502
è	0.0210033	0.438037	0.0440881	0.0673845	0.429487
n	0.00517271	0.153966	0.696375	0.107297	0.0371902
a	0.022025	0.189501	0.757809	0.0269681	0.00369679
p	0.00328973	0.172575	0.690572	0.0257871	0.107777
à	0.00308938	0.00899339	0.852023	0.0437444	0.0921494
n	0.000908491	0.0101274	0.75872	0.0463349	0.18391
t	0.000800158	0.0026342	0.948475	0.0435036	0.0045867
a	0.000174099	0.000169071	0.201787	0.55294	0.24493
t	0.0016956	0.0180165	0.185605	0.466284	0.3284
e	0.000299199	0.000252787	0.253183	0.204318	0.541947
c	0.000197736	0.00115949	0.0333932	0.306149	0.6591
h	0.000253524	0.000226412	0.0223441	0.461889	0.515287
ù	0.00020406	0.00085293	0.00787565	0.318811	0.672256
d	0.00135917	0.00510779	0.00376581	0.933283	0.0564845
d	0.0032913	0.00445261	0.0245656	0.942689	0.0250015
h	0.000356901	0.000233846	0.044824	0.675275	0.279311
i	0.000728481	0.00106408	0.00844193	0.351312	0.638454
</S>	0.00174334	0.0014186	0.0037685	0.112007	0.881062
