 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a	0.996428	0.0021173	0.00112769	3.38148e-06	1.01812e-05	3.99074e-05	8.14812e-06	4.66212e-06	1.06803e-06	7.22131e-06	6.76333e-06	6.40447e-06	2.82327e-05	0.000211171
p	0.447639	0.534882	0.015118	0.000431174	0.000228246	0.00070252	0.000258987	0.000477063	3.02344e-05	3.12656e-05	1.15071e-05	0.000117768	5.35353e-05	1.87174e-05
e	0.105611	0.868061	0.00861729	0.00319688	0.00454431	0.000865992	0.00225193	0.00118924	0.000210028	0.00052197	0.000382817	0.000337251	0.00100399	0.00320614
t	0.906292	0.033073	0.038569	0.0172444	0.000221842	0.00233165	5.56576e-05	0.00127759	0.000730947	6.00355e-05	1.86686e-05	0.000116939	4.83148e-06	3.12739e-06
à	0.235128	0.0249824	0.0499866	0.142907	0.183493	0.0314072	0.0395096	0.0944273	0.0282924	0.0413137	0.019962	0.024786	0.0170167	0.0667879
c	0.134915	0.397966	0.0902388	0.00139742	0.19999	0.00211908	0.125146	0.00299796	3.59876e-05	0.00504635	0.00475363	0.00287516	0.00873591	0.0237831
i	0.259851	0.0251545	0.698009	0.0123253	0.000512292	0.0022176	0.000672068	0.000161625	7.95478e-05	2.53258e-05	2.09687e-05	2.3957e-05	0.000611358	0.000335671
a	0.0669846	0.000191775	0.66162	0.239155	0.00078858	0.0227036	0.000388612	0.00304355	0.00468733	0.00015178	5.03853e-05	0.000199021	2.39263e-05	1.2097e-05
e	0.00398608	0.00229675	0.491308	0.455989	0.00829754	0.0248187	0.00372455	0.00213634	0.00202207	0.000677823	0.000447314	0.000738758	0.000852141	0.00270487
t	0.00110555	0.000572742	0.00852674	0.931032	0.0359581	0.0127209	0.00229291	0.00399437	0.00149842	0.000596198	0.000255064	0.000439465	0.00055742	0.000449646
o	0.000785597	0.000146393	0.000733901	0.37822	0.491931	0.00652238	0.0556782	0.0250881	0.00620859	0.0115825	0.00538642	0.00995123	0.00199243	0.00577299
s	0.000652355	0.000156484	0.00916019	0.337781	0.449878	0.130418	0.0376635	0.0135563	0.00463513	0.00622369	0.0015145	0.00438231	0.000793504	0.00318529
ò	0.00102552	0.00147126	0.00107908	0.0875714	0.692963	0.018061	0.091821	0.034032	0.00682158	0.0182936	0.0082839	0.0117155	0.0077702	0.0190909
z	0.00013399	0.0080537	0.000860934	0.00115874	0.76259	0.00764569	0.186074	0.00265007	0.00011625	0.00154889	0.00145644	0.000814248	0.00540902	0.0214874
u	0.00950442	0.014379	0.05115	0.263119	0.0923209	0.360501	0.0491976	0.0575995	0.0595331	0.00248604	0.00141887	0.0026622	0.0283835	0.00774533
m	0.00101356	6.05241e-05	0.00301567	0.231953	0.122746	0.381333	0.0315269	0.102883	0.113457	0.00483363	0.0014579	0.0031712	0.000611121	0.00193744
e	0.000602674	0.000864044	0.000478442	0.0305255	0.769971	0.012553	0.125539	0.0222283	0.00656098	0.00649959	0.00289524	0.00701525	0.00373223	0.0105353
e	0.000306502	3.63002e-05	0.0006639	0.12848	0.395057	0.265612	0.0875547	0.0375554	0.0402817	0.0152844	0.00405052	0.00465879	0.00125714	0.0192012
s	0.000261036	0.000345632	0.00049617	0.0154319	0.296443	0.165202	0.411553	0.0661879	0.0160711	0.0116879	0.00380816	0.00421326	0.00181329	0.00648636
ò	0.000272468	9.9227e-05	0.000113597	0.0186452	0.43632	0.0118917	0.352936	0.0707658	0.0251195	0.0343629	0.0167337	0.00925902	0.00608621	0.0173942
z	4.66812e-05	0.010972	0.000133927	0.000212907	0.1834	0.0106105	0.726282	0.0251585	0.000347554	0.0025279	0.00184808	0.000832897	0.0191902	0.0184371
u	0.00143922	0.00431912	0.00327362	0.0354192	0.0666605	0.122561	0.154616	0.444512	0.0984633	0.00904118	0.00353081	0.00974815	0.0353556	0.0110605
n	0.000107436	1.2525e-05	0.000132397	0.0129392	0.00165779	0.0532423	0.0154038	0.598572	0.287316	0.0215771	0.00300505	0.00354314	0.000430079	0.00206032
f	0.000344909	0.000186822	0.000187572	0.0023308	0.0402597	0.0106905	0.43288	0.339194	0.0721284	0.0325001	0.00957738	0.0320688	0.00713534	0.020516
à	0.000210958	8.67514e-05	6.47192e-05	0.0093405	0.179597	0.00365993	0.164419	0.236301	0.0753641	0.127375	0.049475	0.0249366	0.00864086	0.120528
i	9.9388e-05	0.00743094	7.35335e-05	6.52358e-05	0.0249564	0.000969957	0.671907	0.0846955	0.000580426	0.00999332	0.00492207	0.00265446	0.142876	0.048776
o	0.000242287	0.000152979	0.000229209	0.00142499	0.00022255	0.00627012	0.00585922	0.337742	0.602167	0.0298213	0.00758599	0.00462699	0.000844402	0.00281105
g	0.000200728	0.000425912	0.000260852	0.000543029	0.00139664	0.0100706	0.0910232	0.484893	0.217206	0.139523	0.0248934	0.0131092	0.0109841	0.00547106
e	0.000272045	0.00016765	0.000118772	0.00122871	0.0078251	0.00327997	0.086446	0.317146	0.136294	0.281453	0.080773	0.0242499	0.0160333	0.0447123
l	0.000100739	3.43261e-05	0.000157791	0.000545403	0.000369633	0.00398019	0.00379755	0.166155	0.193988	0.454296	0.0766105	0.0560648	0.00455298	0.039347
à	0.00050367	0.000310276	0.0002265	0.000448382	0.00470455	0.00118741	0.027143	0.105858	0.0796649	0.343944	0.103701	0.14508	0.0619181	0.12531
o	8.92293e-05	0.0127581	0.000140536	1.5161e-05	0.00107791	0.000435058	0.0351612	0.167497	0.00350061	0.181479	0.072907	0.0339336	0.351612	0.139394
p	0.000617463	0.000417899	0.000536688	0.000596783	8.80852e-05	0.000917838	0.000351162	0.0377605	0.21562	0.172285	0.220487	0.248517	0.0713839	0.0304207
r	0.000172168	9.18963e-05	3.76265e-05	0.000177253	0.00201054	0.000269958	0.012892	0.0909092	0.0714504	0.337488	0.13265	0.092698	0.0754687	0.183685
ì	0.000116956	6.57541e-05	9.2621e-05	0.000917163	0.0017439	0.00194208	0.00550614	0.0748582	0.0360942	0.344286	0.121657	0.0330744	0.0452237	0.334422
m	0.000136146	0.000743943	0.000316941	3.4704e-05	4.19486e-05	0.000426621	0.000473498	0.00754569	0.00724919	0.0387805	0.0640344	0.185236	0.65115	0.0438302
a	0.000644132	0.0167179	0.0004084	0.000116605	0.00320952	0.000379801	0.00883466	0.0250171	0.014904	0.0465917	0.0408421	0.226381	0.594771	0.0211821
n	0.000120114	1.66993e-05	0.00012931	0.000201301	2.23474e-05	0.000436969	6.47354e-05	0.00525859	0.0376371	0.102659	0.196415	0.399676	0.0955046	0.161858
a	0.000153749	5.98266e-05	5.49521e-05	6.99048e-05	0.000567527	0.000112984	0.000974923	0.00314082	0.00555148	0.030074	0.0495101	0.447191	0.215259	0.24728
