 	hai	già	mangiato	</S>
ì	0.92537	0.0125322	0.0431229	0.0189748
s	0.427585	0.14627	0.0262105	0.399934
e	0.989312	0.00353557	0.00492013	0.00223251
g	0.304295	0.692107	0.00347849	0.000120484
i	0.116046	0.7141	0.0869807	0.0828736
à	0.0144284	0.966107	0.00848048	0.0109837
f	0.0393266	0.109774	0.834784	0.016115
a	0.0332809	0.122868	0.837806	0.0060445
m	0.000296619	0.0481786	0.787627	0.163897
è	0.00818586	0.0132674	0.750009	0.228537
n	0.00551044	0.000602074	0.906271	0.0876162
a	0.00836795	0.0036288	0.974039	0.0139641
</S>	2.7648e-05	0.00108259	0.168007	0.830883
