 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.9934	0.00429386	0.00140765	2.33739e-05	3.01875e-05	8.46784e-05	0.000760664
i	0.999202	4.52373e-05	0.00061716	5.11721e-05	3.98453e-05	1.49433e-05	2.9164e-05
ù	0.970556	0.0124234	0.0147542	0.00185374	0.000407905	1.80336e-06	2.49302e-06
m	0.0084931	0.612267	0.258695	0.119854	0.00037029	3.09051e-05	0.000289766
è	0.00166948	0.156684	0.456662	0.382607	0.000967868	0.000338845	0.00107034
s	0.000237644	0.97171	0.0121823	0.013745	0.000474549	0.000527383	0.00112274
a	0.00666727	0.0509696	0.87779	0.0615623	0.00204775	0.000373349	0.000589354
è	0.00608803	0.0549069	0.923867	0.00861106	0.00589694	0.000115926	0.000514667
n	0.000299558	0.0134982	0.791242	0.194037	0.000807516	1.87604e-05	9.64614e-05
a	0.000120926	0.00441946	0.493309	0.499549	0.00229832	0.000183265	0.000119377
v	0.00110863	0.00529962	0.288514	0.345082	0.345275	0.00537408	0.00934642
à	0.000155231	0.000873854	0.00635378	0.881732	0.0828755	0.0158873	0.0121219
l	2.52683e-06	0.0020065	0.0079178	0.982701	0.0020035	0.00221395	0.00315514
i	1.74669e-05	0.000194537	0.010761	0.978708	0.00977026	0.00036288	0.000186237
è	0.00027247	0.000372963	0.00835288	0.0159664	0.917412	0.021537	0.0360863
n	0.000527363	0.0151712	0.0100202	0.348405	0.615928	0.00847135	0.00147721
a	0.000780471	0.0117427	0.0134217	0.585372	0.346578	0.0395526	0.00255302
t	0.000128466	0.000373249	0.00117198	0.00220519	0.30088	0.516584	0.178657
a	0.000539334	0.00141168	0.000275522	0.00132526	0.151711	0.737896	0.106841
p	3.30931e-05	0.000199808	0.000265241	0.000320996	0.0801534	0.822515	0.0965121
p	0.000287073	0.000558723	0.000174487	0.00107674	0.0454191	0.887951	0.0645328
è	0.00101268	0.000627912	0.00172693	0.00368773	0.185157	0.29451	0.513278
t	0.000925052	0.0331786	0.0203061	0.0828026	0.0943176	0.567765	0.200705
o	0.00246069	0.0194541	0.0171105	0.201918	0.141589	0.588391	0.0290766
</S>	0.000503003	0.000459737	0.000800035	0.000277383	0.102669	0.13732	0.757971
