 	ho	scritto	una	lettera	al	mio	fratello	</S>
è	0.956727	0.0159718	0.0185311	0.00771551	2.41681e-05	1.70054e-05	0.00014434	0.000868964
g	0.048046	0.467222	0.173306	0.27136	0.00164469	0.000974365	0.0113431	0.0261038
r	0.0113669	0.969079	0.00319971	0.015372	7.52684e-06	1.22865e-06	0.000908219	6.50288e-05
a	0.572868	0.419435	0.00315724	0.00424279	7.7765e-05	1.25267e-05	0.00017561	3.1225e-05
t	0.282557	0.355782	0.357411	0.00409783	0.000110996	3.69145e-05	2.20058e-06	1.76116e-06
s	0.0644853	0.772141	0.0551504	0.0179624	0.0524091	0.00876532	0.00592812	0.0231588
a	0.194736	0.190126	0.445808	0.00749816	0.0281573	0.0680018	0.00161943	0.0640529
è	0.0128113	0.0261485	0.921089	0.0149653	0.0116929	0.010313	8.46269e-05	0.00289575
n	0.000965248	0.00268662	0.919845	0.07503	0.000204823	9.52347e-06	0.00123871	1.97793e-05
a	0.00322685	0.0130974	0.903694	0.0733977	0.00179248	0.000171686	0.00448762	0.000131821
n	0.00518691	0.00157421	0.615453	0.223921	0.115601	0.0315391	0.00193001	0.00479481
g	0.00857253	0.011841	0.0905717	0.516447	0.262151	0.0710325	0.00756061	0.0318237
r	0.00245316	0.0012029	0.0449847	0.0105513	0.408229	0.181433	0.020288	0.330857
à	0.00210106	0.0015432	0.0116356	0.00507251	0.202084	0.165619	0.0156253	0.596319
m	0.00402385	0.0124138	0.0445854	0.132256	0.0153098	0.00229475	0.765187	0.0239297
m	0.0030009	0.0109255	0.0409255	0.853039	0.0179479	0.000781231	0.0714367	0.00194344
a	8.89207e-05	0.00123847	0.00139422	0.163943	0.0598304	0.00152176	0.463651	0.308332
u	0.00126693	0.000137629	0.0154226	0.0107027	0.354552	0.506331	0.00520111	0.106386
d	0.000194568	0.000178619	0.000456402	0.00482838	0.650445	0.325969	0.001505	0.0164233
e	0.000584277	0.000615366	0.000335939	0.00173311	0.488346	0.220559	0.0238065	0.264021
r	0.000259925	4.45928e-05	0.000332488	0.000100514	0.128658	0.781391	0.0128973	0.0763165
f	0.00186381	0.00177014	0.000553235	0.000495257	0.253398	0.566818	0.0150935	0.160008
ù	0.000918583	0.00018501	0.0004757	0.000483967	0.380935	0.126698	0.00931386	0.48099
m	0.000283746	0.00225156	8.56468e-05	0.00036721	0.00233445	0.00165251	0.971191	0.0218341
m	0.000887403	0.00331033	0.000632803	0.00263973	0.0730186	0.0677939	0.834384	0.0173332
u	2.21415e-05	0.000264781	1.18922e-05	0.000295289	0.0201588	0.00236544	0.424055	0.552826
</S>	0.000604463	0.000145484	0.000644364	0.000289155	0.0593339	0.13337	0.0138294	0.791783
