 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.959841	0.012383	0.0217108	0.000525078	0.000530412	0.00041561	0.00042277	0.00417146
n	0.896539	0.0824259	0.0197071	0.000946562	0.00035004	2.66614e-05	1.92929e-06	2.8813e-06
k	0.0154288	0.952504	0.0175465	0.00747668	0.0010115	0.00279233	0.000353974	0.00288616
ò	0.0103224	0.880148	0.0218473	0.0580382	0.00711307	0.00907029	0.0082168	0.0052444
r	0.000989187	0.961211	0.018279	0.0140002	0.000207951	0.00240132	0.00105067	0.00186063
a	0.160375	0.273525	0.548958	0.0156772	0.00122623	3.58769e-05	0.000100987	0.000101269
s	0.0517157	0.0317663	0.819536	0.0898241	0.00711921	2.02747e-05	1.11417e-05	7.09227e-06
t	0.0264759	0.421359	0.307541	0.191706	0.0249298	0.0196377	0.000325055	0.00802477
e	0.0184485	0.155678	0.195597	0.344032	0.0623745	0.0301983	0.00892646	0.184745
m	0.0245493	0.0581077	0.676075	0.213754	0.0231883	0.00137817	0.000148833	0.00279864
a	0.0115774	0.156925	0.347692	0.411637	0.027587	0.0242759	0.000810109	0.0194956
r	0.0174218	0.0101484	0.30369	0.580468	0.070828	0.00177083	0.00159213	0.01408
è	0.017606	0.10053	0.229477	0.474704	0.0702596	0.0702838	0.000925522	0.0362147
o	0.00635016	0.0712481	0.299788	0.546577	0.0177988	0.0231552	0.00501897	0.0300635
c	0.0190024	0.0134879	0.193466	0.609265	0.154513	0.0060698	0.000403705	0.00379163
e	0.00257745	0.0295695	0.0256131	0.478712	0.0387427	0.344799	0.00455751	0.0754292
e	0.00243612	0.00131649	0.0152589	0.230377	0.610764	0.0820258	0.00590954	0.0519118
n	0.00205379	0.0114398	0.00383051	0.0337436	0.0717747	0.863942	0.00253603	0.0106797
ì	0.00132255	0.0137145	0.00555409	0.0536262	0.0190233	0.809778	0.0039399	0.0930411
n	0.000137069	0.00933145	0.00164179	0.0194152	0.00884361	0.677126	0.0761495	0.207355
e	0.0048401	0.0305228	0.0143296	0.0434784	0.108244	0.668464	0.111806	0.0183147
p	0.00185557	0.000876224	0.00363572	0.0151781	0.181272	0.108587	0.493369	0.195227
r	0.00066122	0.005135	0.00203392	0.00539376	0.00829365	0.80965	0.0150452	0.153787
ò	0.000446672	0.000553369	0.00126441	0.00624246	0.00798585	0.0117793	0.211878	0.75985
n	0.00107348	0.00828232	0.00245009	0.00451657	0.0138927	0.0823827	0.806759	0.0806432
t	0.00514444	0.0374267	0.0154874	0.0159613	0.0149638	0.244236	0.638117	0.0286636
o	4.53499e-06	0.000614143	3.3074e-05	0.000271436	4.122e-05	0.0467183	0.288567	0.663751
</S>	0.000807656	0.000589809	0.0010452	0.00169994	0.0126161	0.0213183	0.236855	0.725068
