 	il	morto	vuole	pianto	</S>
o	0.972278	0.0134369	0.00639025	0.00220724	0.00568708
p	0.0603748	0.934752	0.00482179	3.25519e-05	1.83818e-05
e	0.00693498	0.834332	0.117817	0.0186029	0.0223127
s	0.0252289	0.973901	0.00066403	0.000105571	0.000100888
a	0.0181886	0.69838	0.115673	0.044908	0.12285
m	0.0619846	0.898298	0.00759189	0.00609655	0.0260292
m	0.011976	0.943743	0.03915	0.00167916	0.00345233
è	0.035552	0.789099	0.0207211	0.0277517	0.126876
n	0.00324292	0.746488	0.177496	0.0568945	0.0158779
o	0.00828895	0.689497	0.279372	0.0200947	0.00274797
t	0.0187576	0.754747	0.178018	0.0274917	0.0209862
è	0.00132186	0.0587885	0.788244	0.0475472	0.104099
l	4.11517e-05	0.12941	0.551384	0.148291	0.170873
i	0.000577941	0.0280825	0.950399	0.0167091	0.0042313
g	0.00178616	0.0828814	0.399008	0.407482	0.108842
l	0.000516159	0.00619161	0.362227	0.179466	0.451599
a	0.0063758	0.0118658	0.00520175	0.190457	0.786099
m	0.000107082	0.00591081	0.168029	0.217154	0.608799
m	0.000103566	0.00369455	0.100492	0.712513	0.183197
è	0.000228931	0.00525565	0.00930818	0.151971	0.833236
n	0.000633467	0.00913438	0.00269277	0.953167	0.0343725
o	0.000273698	0.00632843	0.118835	0.855038	0.0195246
</S>	0.000161117	0.0014995	0.00557552	0.867349	0.125415
