 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.349007	0.0227169	0.610164	0.0148682	0.000100476	3.48917e-05	0.00105727	9.4419e-06	2.13011e-05	1.262e-05	0.000132189	0.000522505	0.00135314
n	0.741335	0.228781	0.0196526	0.00149111	0.000751491	0.000427163	0.00428886	4.60067e-05	3.35228e-05	4.84565e-05	0.00236824	0.000750022	2.66173e-05
ì	0.00800189	0.630411	0.2552	0.0657866	0.00264451	0.00645803	0.015342	0.000719471	0.00361228	0.00352561	0.00125232	0.00115522	0.00589115
c	0.00192035	0.988343	0.00175417	0.000610159	2.33914e-05	5.47272e-05	0.00673078	2.78194e-06	0.000336945	7.47861e-05	2.49947e-05	1.54002e-06	0.000122325
h	0.0659848	0.854912	0.0596934	0.0101018	0.00424862	0.000534678	0.00370336	1.17119e-05	1.17516e-05	1.18201e-05	0.000201271	0.000335501	0.000249142
e	0.00525359	0.934515	0.0241962	0.0129825	0.00384468	0.00138038	0.0164414	0.000100377	0.000657291	0.00026937	0.000236643	2.77765e-05	9.42512e-05
n	0.00741197	0.0506992	0.653799	0.227998	0.0483087	0.0105404	0.000451306	0.000244973	9.4756e-06	4.43486e-05	0.000114135	0.000125208	0.000253325
d	0.000809145	0.232633	0.391398	0.278568	0.0175929	0.0357215	0.00814092	0.00466118	0.0117054	0.00426937	0.00148287	0.00186874	0.0111492
i	0.00574343	0.0421484	0.02544	0.124756	0.287362	0.281315	0.00640808	0.0331164	0.00636586	0.00349561	0.0151187	0.149839	0.0188921
s	0.00173161	0.0397039	0.10605	0.641475	0.0905039	0.103661	0.00770051	0.00484415	0.000939215	0.00113954	0.00132532	0.000365817	0.00056056
ò	0.00113847	0.0269081	0.288739	0.540229	0.0680786	0.0614649	0.00478827	0.00382194	0.000824957	0.000802679	0.000238622	0.000399121	0.00256603
n	0.000418395	0.0661346	0.043228	0.437443	0.0218317	0.00679759	0.406769	0.000295813	0.00345219	0.00105478	0.00264871	0.00180804	0.00811837
t	0.00230584	0.0297328	0.118045	0.697814	0.109283	0.0126888	0.0242422	0.000317343	5.25951e-05	8.9744e-05	0.000635831	0.00406056	0.000733195
a	2.44299e-05	0.0350886	0.20783	0.334804	0.0171203	0.0101777	0.212286	0.00456522	0.0212542	0.0321914	0.00706871	0.0551698	0.0624196
o	0.000300534	0.00300284	0.0033257	0.159294	0.668825	0.14966	0.00266896	0.00848993	3.97495e-05	0.000178691	0.00204384	0.00203674	0.000134136
a	0.000321362	0.00105158	0.00102733	0.143709	0.283589	0.551574	0.0117956	0.00264677	0.000696422	0.000742373	0.000470536	0.000324381	0.00205147
d	0.000175019	0.000670598	0.000146945	0.0101048	0.0267315	0.918461	0.0367977	0.0038944	0.000691418	0.000792074	0.000612212	0.000434175	0.000487691
e	0.000300409	0.00532007	0.00104945	0.0643287	0.111176	0.615328	0.0378841	0.0310416	0.0566085	0.0271317	0.0113227	0.0218105	0.0166976
r	0.000148336	0.000261672	5.04984e-05	0.00603948	0.0346868	0.914829	0.00672588	0.0133134	0.000664905	0.000410321	0.00315909	0.0139152	0.0057955
f	0.00054048	0.00529146	0.000788522	0.0287262	0.036686	0.644863	0.0552933	0.0306868	0.0843865	0.029873	0.0120958	0.0332213	0.0375481
ò	0.000382548	0.00232794	0.00264799	0.0752809	0.0781711	0.0842954	0.0104705	0.0754684	0.0241845	0.00672375	0.0109764	0.306629	0.322442
