 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.000628614	0.965319	0.0339745	7.37524e-05	1.24928e-06	4.37098e-07	1.01198e-07	4.78531e-08	1.96064e-07	2.90719e-08	2.87298e-08	2.43232e-07	2.35878e-06
ò	0.999519	0.000215175	0.000135763	9.82466e-05	1.38479e-05	8.32916e-06	1.09478e-06	4.16166e-06	1.03433e-06	2.58121e-07	7.30669e-07	3.50211e-07	1.82591e-06
t	0.971028	0.0278799	0.00104495	3.64182e-05	4.08177e-06	3.11352e-06	3.11601e-07	8.9698e-07	3.23502e-07	4.86419e-08	8.1123e-08	4.13849e-08	2.27763e-06
t	0.965809	0.0315052	0.00229078	0.000250482	5.49264e-05	6.35086e-05	9.85033e-06	2.76935e-06	3.53822e-06	8.56928e-08	1.19567e-07	1.25103e-06	8.8185e-06
e	0.999753	5.60332e-05	0.000160681	1.86879e-05	3.65374e-06	6.59801e-06	3.59819e-07	4.08589e-07	1.4109e-07	1.53139e-08	7.74349e-08	2.30493e-07	3.76228e-07
j	0.0325937	0.963596	0.00232214	0.000815632	0.000238805	0.00025358	0.000113665	3.49978e-05	2.71453e-05	1.40018e-06	1.25519e-06	1.10174e-06	9.3709e-08
è	0.606309	0.248032	0.0613042	0.0326972	0.0179105	0.00706523	0.00514971	0.00472784	0.00363396	0.00130318	0.000810317	0.000492603	0.0105642
n	0.023656	0.86846	0.10704	0.000441146	0.00010344	0.000222587	6.62197e-06	7.05719e-06	8.20535e-06	8.76817e-07	1.97679e-06	8.17831e-07	5.13131e-05
o	0.104129	0.833205	0.0559198	0.00466585	0.000910137	0.000861744	0.000182925	4.43235e-05	3.29928e-05	5.01086e-07	6.79161e-07	6.00126e-06	4.09402e-05
m	0.000808608	0.620974	0.258983	0.0419185	0.0283722	0.0323934	0.0125659	0.0015534	0.00202145	0.00014715	9.02523e-05	0.000161106	1.05464e-05
e	0.0752296	0.291355	0.42116	0.0692828	0.0550261	0.0340609	0.0117296	0.00750033	0.00917445	0.00190504	0.00137351	0.000773563	0.0214294
v	0.000304936	0.261284	0.29554	0.0701118	0.128455	0.132499	0.064321	0.00874851	0.0208229	0.00810207	0.00223367	0.00383355	0.00374365
è	0.00271958	0.0529704	0.715787	0.0879019	0.0598037	0.0395357	0.0116721	0.00673837	0.00524671	0.00154133	0.000880105	0.00053961	0.0146633
k	0.000182131	0.00722862	0.98248	0.00752542	0.000815608	0.00156224	4.97545e-05	1.81123e-05	2.12692e-05	1.06008e-06	2.24402e-06	4.81985e-06	0.000108416
k	0.00340222	0.0318098	0.896852	0.0560472	0.0062357	0.00401698	0.000994424	0.000296267	0.0001535	2.61376e-06	3.41899e-06	3.38207e-05	0.000151493
i	0.00458798	0.00724347	0.367109	0.328629	0.0906217	0.0886853	0.00849312	0.0195365	0.00430981	0.00048088	0.00103744	0.0118042	0.067462
o	3.22276e-05	0.0127518	0.028132	0.314273	0.258612	0.157618	0.174959	0.0239387	0.0195899	0.00479974	0.0014678	0.00319127	0.000633722
p	0.000102623	0.000898793	0.18802	0.703281	0.0778058	0.0199193	0.0058841	0.00278306	0.000514152	6.17842e-05	3.45012e-05	2.94482e-05	0.000665153
u	0.000127604	0.000228992	0.0286779	0.642701	0.18494	0.0535997	0.035486	0.0240238	0.00549176	0.00609648	0.00251742	0.00266233	0.0134471
l	3.45872e-06	0.000238129	0.00331141	0.360654	0.458442	0.127702	0.0371977	0.00436267	0.00446275	0.00148452	0.0002895	0.000634863	0.00121777
ò	0.000181292	0.000243699	0.0092963	0.54619	0.314773	0.0794294	0.0244304	0.0103467	0.0055439	0.00243547	0.00119903	0.000622437	0.00530821
t	0.000282336	0.00067231	0.172537	0.712366	0.0681709	0.0431003	0.000890555	0.000426672	0.000232381	8.2629e-06	1.70485e-05	5.92157e-05	0.00123781
o	0.000198664	0.000188714	0.0101211	0.720006	0.215937	0.0328827	0.0116209	0.00628936	0.00220514	7.16752e-05	3.77598e-05	0.000175961	0.000264531
s	3.14403e-06	0.00011142	0.000297086	0.0522619	0.368248	0.389178	0.157946	0.017732	0.0100872	0.0014841	0.000287811	0.00164862	0.000714392
p	0.000117801	0.000124389	0.0016996	0.220756	0.549506	0.123963	0.0584423	0.0279767	0.00852081	0.00284592	0.000995538	0.000658104	0.00439403
ì	9.80649e-05	0.000469909	0.0018041	0.0495073	0.136506	0.108722	0.218021	0.0397509	0.042339	0.0856329	0.0141228	0.122642	0.180384
t	0.000370875	0.00105932	0.00907535	0.127496	0.380481	0.346877	0.0805128	0.0239748	0.022325	0.000523588	0.000474197	0.00401352	0.00281678
i	0.000252177	0.000107178	0.00157941	0.21865	0.514231	0.166383	0.0574318	0.0297557	0.00929953	0.000475096	0.0002253	0.000750661	0.000859513
m	2.69349e-06	5.01434e-05	3.70563e-05	0.00645466	0.0832388	0.187362	0.58563	0.084354	0.0389005	0.00723884	0.000909512	0.00356897	0.00225279
u	0.00156329	0.000481851	0.00224279	0.0294863	0.388668	0.211868	0.202889	0.0973735	0.0267868	0.0107642	0.00522388	0.00286613	0.0197875
c	4.06121e-06	3.58753e-05	1.23567e-05	0.00180308	0.0709508	0.128209	0.675815	0.0672008	0.0273682	0.0156345	0.0011544	0.00273628	0.00907512
e	0.00048733	0.000219221	0.000715204	0.00850052	0.0756782	0.0547592	0.347554	0.382978	0.0386225	0.0358674	0.012618	0.00995182	0.0320487
p	9.4797e-06	4.26606e-05	1.33399e-05	0.000688444	0.0263845	0.03967	0.692961	0.122212	0.0527984	0.0374644	0.00249985	0.00490397	0.0203521
à	0.000293494	0.000216962	0.000544735	0.00592191	0.0508107	0.0385367	0.304598	0.408171	0.0513679	0.0423874	0.0117968	0.0226652	0.0626899
o	0.00614114	0.00118975	0.0141374	0.0289569	0.0788593	0.162037	0.236226	0.275722	0.0760068	0.00216087	0.00208353	0.0169979	0.0994817
s	0.000167959	0.000225246	0.000190915	0.000825279	0.00244936	0.00253175	0.121605	0.745161	0.10083	0.0141849	0.00527718	0.0025463	0.00400552
t	0.000270775	6.41409e-05	0.000262206	0.00172046	0.0109531	0.00713089	0.143371	0.494215	0.0752058	0.0924045	0.0243324	0.0497728	0.100297
i	4.78528e-05	5.77504e-05	5.59745e-05	0.00282181	0.0331673	0.0141463	0.0988988	0.120491	0.0704465	0.213323	0.0525084	0.256838	0.137198
t	2.91041e-06	3.71203e-05	8.49974e-06	0.000124623	0.00174566	0.00202339	0.119402	0.333127	0.244817	0.216217	0.0247351	0.0257302	0.03203
à	0.000209793	7.04727e-05	0.000243385	0.000596281	0.00218188	0.00186805	0.0656093	0.498921	0.0984656	0.160564	0.039364	0.0358988	0.0960068
l	0.00372683	0.0015534	0.0171218	0.00684471	0.010549	0.0215847	0.0561543	0.400894	0.296298	0.00907365	0.0127053	0.021061	0.142433
a	0.000684509	0.000431876	0.00139327	0.00149804	0.00492267	0.00350767	0.0856671	0.465186	0.350931	0.0318058	0.0181841	0.0167644	0.0190234
s	3.2842e-06	3.67181e-05	5.40866e-06	6.47214e-05	0.000723895	0.000625398	0.0269352	0.0858789	0.353202	0.298339	0.126506	0.0941967	0.0134825
s	0.000216428	0.000151629	0.000526751	0.000676455	0.00198811	0.00124943	0.0207098	0.19532	0.184999	0.266799	0.0651769	0.0575283	0.204659
