 	che	consuma	poco	benzina	</S>
n	0.982962	0.00741601	0.000531656	0.00444589	0.0046446
a	0.839232	0.0731784	0.0587045	0.0116836	0.0172014
k	0.242074	0.748185	0.0092749	0.000418404	4.78774e-05
o	0.0498815	0.362915	0.448288	0.0455951	0.0933205
n	0.230137	0.741471	0.0210845	0.00326931	0.00403793
s	0.0351392	0.250038	0.463317	0.085527	0.165979
u	0.0716093	0.0798769	0.0612313	0.229795	0.557487
m	0.0232402	0.259132	0.547109	0.0603374	0.110181
è	0.0129229	0.262106	0.701794	0.0174253	0.00575227
t	0.000268549	0.0527499	0.892127	0.0324367	0.0224179
s	0.00426935	0.41978	0.545799	0.0282632	0.00188838
i	0.000670214	0.00496623	0.0453521	0.829147	0.119864
a	0.00810351	0.43525	0.0809669	0.321904	0.153775
l	0.00310133	0.0637882	0.283006	0.566085	0.0840197
ì	0.00447552	0.0358163	0.0769638	0.605481	0.277263
o	5.77749e-05	0.00243291	0.197692	0.693039	0.106778
b	0.00195628	0.0110048	0.00716659	0.930712	0.0491602
e	0.000156937	0.000391416	0.00429335	0.694313	0.300845
n	0.000391149	0.00185252	0.000310455	0.482506	0.51494
z	0.000562063	0.00122475	0.00305695	0.459287	0.535869
ì	0.00134906	0.0120117	0.00448047	0.424002	0.558157
n	0.00108019	0.00568287	0.0086468	0.66662	0.31797
a	0.0067082	0.0179535	0.0299497	0.850602	0.0947868
</S>	0.000547643	0.00125033	9.88418e-05	0.0698023	0.928301
