 	la	pasta	vuole	sale	</S>
i	0.949351	0.0251746	0.00314579	0.0128457	0.00948333
p	0.336491	0.376675	0.28392	0.00216793	0.000746349
à	0.117113	0.0708669	0.172415	0.487193	0.152412
s	0.00222938	0.979427	0.0098622	0.00572177	0.00275918
t	0.0469167	0.128623	0.763334	0.0596459	0.00148001
a	0.0185036	0.0127898	0.0411623	0.746749	0.180796
ì	0.00997822	0.0164455	0.956185	0.0167941	0.000597092
t	0.000518573	0.0106739	0.67312	0.31483	0.000857287
e	0.000137369	0.00108705	0.949792	0.0475599	0.001424
l	0.000148189	0.000584601	0.0764597	0.894172	0.0286359
e	0.000301532	0.000413668	0.0251341	0.433629	0.540522
à	0.00020847	0.000280489	0.0306444	0.298018	0.670849
l	2.46529e-05	0.00258715	0.00325158	0.988753	0.00538398
a	0.000121925	0.000842019	0.0259966	0.951812	0.0212272
</S>	6.47218e-05	0.000112548	0.00275152	0.0347848	0.962286
