 	la	casa	la	costruisce	il	mastro	</S>
o	0.992382	0.00326069	0.00214223	0.000272196	1.85963e-05	0.000114151	0.00181071
s	0.259716	0.722794	0.00756237	0.00939723	5.94362e-05	0.00041498	5.55253e-05
p	0.16073	0.75166	0.0303959	0.0461092	0.000392905	0.00129366	0.00941791
ì	0.410357	0.473385	0.0309961	0.0208636	0.0406483	0.00238322	0.0213667
t	0.0174743	0.901025	0.0196564	0.0593265	4.48465e-05	0.00155227	0.000920848
i	0.218183	0.414036	0.346203	0.0169625	0.000365034	0.00371307	0.000538108
o	0.0217474	0.0393697	0.922097	0.0101447	0.00617458	0.000256111	0.000210719
f	0.00315948	0.0149909	0.843924	0.122086	0.00499867	0.00155672	0.00928366
a	0.0036594	0.00318009	0.901254	0.0419384	0.0127555	0.00179325	0.0354189
b	0.00123558	0.00576016	0.491382	0.42175	0.0322062	0.0173054	0.0303608
b	0.00358369	0.012192	0.409935	0.323692	0.0239568	0.018739	0.207902
r	0.00744594	0.0139944	0.080138	0.102981	0.189587	0.162012	0.443841
i	0.00071835	0.00175655	0.017098	0.0224635	0.014042	0.0327247	0.911197
k	0.0013639	0.00220792	0.10943	0.206869	0.421882	0.00885697	0.24939
è	0.00904458	0.0114843	0.137707	0.467616	0.189859	0.0197156	0.164574
i	8.86957e-05	0.00179997	0.0199026	0.743073	0.00108223	0.199472	0.0345818
o	0.00115297	0.000896292	0.00735001	0.0162614	0.950572	0.00468945	0.0190773
m	0.00119249	0.00495601	0.00401966	0.0136604	0.32912	0.593128	0.0539237
à	0.00409419	0.00428965	0.00860966	0.011857	0.460794	0.12679	0.383565
s	1.48375e-05	0.000702386	0.000128886	0.00816634	0.000752483	0.982945	0.00728994
c	0.00239447	0.00738816	0.00847293	0.019724	0.188846	0.606854	0.166321
i	0.00012571	0.000323266	0.000943856	0.0074748	0.0016866	0.734705	0.25474
a	0.000512047	0.000474911	0.000560403	0.000274732	0.549154	0.0862236	0.3628
</S>	0.000169268	0.000412914	0.0003356	0.000496093	0.0139271	0.412366	0.572293
