 	non	so	cosa	stai	scrivendo	</S>
e	0.856473	0.0486213	0.0236238	0.00458307	0.00279283	0.0639061
n	0.672173	0.262408	0.0287834	0.0352581	0.000728104	0.000649692
e	0.00699008	0.875115	0.0965655	0.0146818	0.00285882	0.00378886
t	0.0158269	0.970984	0.00623176	0.00684352	7.44505e-05	3.96322e-05
s	0.00110353	0.606011	0.236285	0.0575449	0.0206028	0.0784523
è	0.0175473	0.263915	0.0608542	0.396652	0.042384	0.218647
r	0.0063504	0.0459273	0.746061	0.101001	0.0909579	0.00970272
o	0.00655888	0.0390488	0.904371	0.0424993	0.00491697	0.0026049
e	0.00164098	0.0128513	0.101442	0.875071	0.0060375	0.00295738
s	0.00249754	0.00548019	0.0211819	0.923664	0.0328187	0.0143581
ù	0.000432404	0.0104526	0.0121157	0.370448	0.493057	0.113494
t	0.000168423	0.000379686	0.029956	0.126852	0.760915	0.0817288
i	0.000920014	0.00402986	0.0145821	0.437224	0.526654	0.0165898
s	0.00125763	0.00246266	0.00193014	0.368575	0.155691	0.470083
t	0.000400775	0.0039411	0.00123291	0.0588558	0.769265	0.166304
e	0.000432433	0.00880683	0.00894932	0.224328	0.041315	0.716169
g	0.000781928	0.00146761	0.000779288	0.0783194	0.0949015	0.82375
r	0.000859458	0.00335325	0.00279514	0.0218694	0.612598	0.358525
à	0.00134079	0.00434824	0.0028787	0.142459	0.0146481	0.834325
f	0.00179696	0.00117516	0.00216103	0.0229988	0.359928	0.61194
i	0.00187915	0.00496538	0.011859	0.0144298	0.893011	0.0738562
</S>	0.000685635	0.000637991	0.000248577	0.00853077	0.00721468	0.982682
