 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.992322	0.00429729	0.000151386	4.58043e-05	0.00047862	0.000279985	0.00242502
n	0.8564	0.000928843	0.000606517	0.000318434	0.0930722	0.00977884	0.0388956
a	0.834077	0.0164719	0.000983708	0.000378083	0.134047	0.00834443	0.0056981
v	0.945381	0.0300167	0.0111397	0.00276427	0.00998076	0.000523631	0.000193851
o	0.0495639	0.673993	0.160642	0.0169347	0.0426471	0.00888622	0.0473322
r	0.0470674	0.123389	0.510052	0.152338	0.162803	0.00308876	0.00126141
à	0.00283202	0.0928003	0.295994	0.080892	0.258942	0.0324221	0.236117
s	0.00303076	0.00216086	0.0103768	0.0041589	0.930633	0.0342151	0.0154244
o	0.022971	0.317215	0.490638	0.068598	0.072344	0.0137788	0.0144552
o	0.000138166	0.0345341	0.117712	0.818202	0.0273776	0.00118226	0.000854236
s	0.00032751	0.0137684	0.0316367	0.268476	0.675631	0.00403863	0.006121
s	0.000532893	0.0103482	0.036645	0.285315	0.434737	0.0904582	0.141963
o	4.90273e-05	0.438236	0.23053	0.136226	0.00767577	0.00937448	0.177909
m	0.00042123	0.0172996	0.0110356	0.0211726	0.25443	0.134114	0.561526
ì	0.000373852	0.00794497	0.0043437	0.0220968	0.902477	0.0193253	0.0434383
k	0.00026553	8.31455e-05	3.36044e-05	0.000147868	0.671164	0.265118	0.0631881
a	0.0232461	0.00913028	0.0026376	0.00378446	0.12232	0.751967	0.0869147
m	0.000231163	0.0234859	0.00733747	0.0151591	0.0157017	0.474704	0.463381
è	0.00201196	0.000327806	0.0004419	0.00056624	0.00831899	0.520524	0.467809
r	9.94529e-05	2.94472e-06	1.02107e-06	1.7466e-06	0.00509081	0.921967	0.0728366
i	0.000620714	0.000665927	0.00017893	0.000166172	0.00293911	0.706997	0.288432
</S>	0.000101876	0.000976629	0.000259527	0.000316565	0.000164919	0.0719794	0.926201
