 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.997643	0.00122673	0.000269338	1.24447e-05	1.86301e-05	0.000213097	0.000616565
g	0.76297	0.226931	0.00660946	0.000919555	8.7588e-06	0.0024877	7.33677e-05
e	0.130839	0.775713	0.029592	0.0240999	0.000409422	0.00269127	0.0366551
n	0.201248	0.789712	0.00649631	0.00228547	6.63032e-05	0.000184139	8.38742e-06
i	0.0370393	0.707452	0.0971311	0.0581796	0.0126357	0.00814172	0.0794209
t	0.179178	0.614299	0.0856012	0.061928	0.0145782	0.0383564	0.00605991
ò	0.159227	0.662137	0.0627523	0.0593874	0.0114567	0.0069666	0.0380733
r	0.0223425	0.64181	0.0388552	0.0474404	0.00421996	0.150282	0.0950498
u	0.163409	0.660153	0.0750838	0.0223353	0.000788921	0.0634431	0.0147863
e	0.0866062	0.159066	0.321881	0.317024	0.0203307	0.0930193	0.00207265
n	0.00628839	0.0292299	0.257248	0.665462	0.00749457	0.0119341	0.0223429
è	0.00601196	0.0258395	0.00922549	0.773111	0.0703546	0.0237883	0.0916691
n	6.72093e-05	0.00404347	0.00898982	0.0595851	0.00269767	0.218293	0.706324
u	0.005002	0.0370905	0.0448122	0.680553	0.0192547	0.141869	0.0714181
s	0.000938975	0.00157975	0.0102536	0.363141	0.165475	0.442607	0.0160046
s	0.00109318	0.00554393	0.00179035	0.221753	0.14047	0.0579154	0.571434
c	0.000352201	0.00065078	0.00109399	0.0205296	0.323334	0.408885	0.245155
e	0.000126057	0.000300832	0.00076525	0.0254576	0.00510307	0.0342592	0.933988
r	0.000568843	0.000866534	0.00125646	0.0645459	0.252923	0.337255	0.342585
r	0.000842552	0.00206447	0.000727092	0.0441303	0.148357	0.0633573	0.740522
è	0.000601974	0.000972718	0.00178907	0.0840422	0.0883453	0.206409	0.61784
t	0.000510991	0.00519597	0.00248748	0.00858611	0.0253939	0.473496	0.48433
s	0.011665	0.0626767	0.00527288	0.0558506	0.0494563	0.61642	0.198659
u	0.000179155	0.000918304	0.000146745	0.0261343	0.0116583	0.0823976	0.878566
m	0.000968358	0.0014175	0.00142313	0.0119448	0.0928775	0.575557	0.315812
e	0.00294789	0.0113918	0.00152188	0.0111349	0.0498526	0.0768906	0.84626
m	0.000446127	0.000626254	0.00046255	0.0018436	0.0611751	0.683701	0.251746
à	0.000796695	0.00330266	0.000548859	0.0033104	0.0100898	0.0577568	0.924195
i	5.93724e-05	0.0014505	0.000144449	0.000252549	0.000241356	0.463913	0.533939
</S>	0.00140999	0.00199978	0.00107235	0.00164814	0.00632549	0.024504	0.96304
