 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a	0.999522	0.000341898	0.000108594	7.84966e-06	1.23379e-06	2.59629e-06	2.43709e-07	1.4108e-07	3.67612e-07	2.4844e-07	8.99802e-08	2.35972e-06	1.27944e-05
l	0.985541	0.0116093	0.000340929	0.00164958	0.000167929	0.000427653	0.000134614	2.93148e-06	0.000115951	1.15244e-06	2.31405e-06	1.16918e-06	5.68081e-06
l	0.296886	0.584471	0.0490941	0.0243991	0.0176284	0.00575701	0.00166797	0.00229892	0.00184987	4.21064e-05	0.000306198	0.00016459	0.0154347
ò	0.141865	0.281297	0.332431	0.0500609	0.0100222	0.0590023	0.0430227	0.0179643	0.0398838	0.00968571	0.00619878	0.00659239	0.00197502
r	0.143427	0.843482	0.00666961	0.00480837	0.00107505	0.000311898	6.23098e-05	5.14233e-05	3.17229e-05	1.59369e-06	4.83437e-06	3.30157e-06	7.06722e-05
a	0.78185	0.205368	0.00173525	0.0105392	0.000299126	6.10186e-05	0.000105489	9.0741e-06	6.23485e-06	2.81997e-07	2.75535e-07	8.89181e-07	2.50628e-05
f	0.134777	0.602524	0.196178	0.0550739	0.000744855	0.0021171	0.00775453	0.000225302	0.00056968	1.51822e-05	7.68821e-06	1.02944e-05	2.17652e-06
è	0.0103858	0.9278	0.0421813	0.00851689	0.00312872	0.00246038	0.000928553	0.00147807	0.000923002	7.44927e-05	5.57043e-05	0.000111385	0.00195541
t	0.00488144	0.981364	0.00981668	0.00192599	0.00121137	0.000127921	0.000165165	8.16597e-05	3.1391e-05	5.91529e-06	1.52295e-05	5.58755e-06	0.000367845
i	0.0276872	0.894199	0.0314646	0.0413057	0.00387583	0.000729067	0.000617185	4.5364e-05	4.39708e-05	1.79386e-06	2.42738e-06	5.83559e-06	2.21652e-05
p	0.00890194	0.0248184	0.410855	0.514492	0.00592593	0.00685376	0.0265205	0.000335738	0.00119551	4.35943e-05	2.00528e-05	2.76553e-05	1.00174e-05
ò	0.00233925	0.274695	0.523104	0.125189	0.0261894	0.0108697	0.0172442	0.0121791	0.00411157	0.000316079	0.000339919	0.000556745	0.00286546
