 	che	non	li	aspetiamo	</S>
n	0.98349	0.000301894	0.00135063	0.01114	0.00371721
a	0.774479	0.0605041	0.0950462	0.0302791	0.0396914
m	0.274719	0.530725	0.194177	0.000354691	2.49745e-05
i	0.0363039	0.0452125	0.253974	0.455841	0.208668
t	0.174053	0.217656	0.584935	0.0196874	0.0036679
u	0.0462129	0.0176645	0.358206	0.336676	0.241241
s	0.0321004	0.0705266	0.77717	0.0794635	0.0407391
m	0.00768876	0.0171879	0.096108	0.717718	0.161297
ì	0.0149264	0.0680099	0.110183	0.559697	0.247184
n	0.00381945	0.0214387	0.571372	0.353814	0.0495555
o	0.0981826	0.0168514	0.822622	0.0215606	0.0407829
m	0.00711271	0.0128842	0.282182	0.459233	0.238589
e	0.022315	0.0167546	0.046617	0.424759	0.489555
</S>	0.000713985	0.00205843	0.00748817	0.355491	0.634249
