 	non	ho	cosa	a	fare	</S>
e	0.695772	0.0188453	0.00964593	0.0530786	0.197845	0.0248131
n	0.573127	0.235157	0.041256	0.127978	0.0217418	0.000739918
è	0.0188026	0.5126	0.172836	0.117768	0.169127	0.00886758
c	0.00934513	0.829287	0.132345	0.0220144	0.00610144	0.000907525
h	0.0196914	0.157551	0.706902	0.0571319	0.0575203	0.0012029
o	0.000649736	0.0388432	0.901371	0.0317983	0.0142255	0.0131125
t	0.00374806	0.0058885	0.542089	0.431853	0.00448646	0.0119348
i	0.000439215	0.00963944	0.716072	0.10338	0.0280047	0.142464
k	0.00126037	0.00318983	0.0113984	0.877184	0.0378846	0.0690824
à	0.00655897	0.0541056	0.0651809	0.135247	0.403148	0.33576
m	4.56437e-05	0.000345473	0.00223528	0.0747429	0.858729	0.0639014
i	0.00390259	0.00887915	0.016722	0.294752	0.637209	0.0385355
</S>	0.000474995	0.000459007	0.000382697	0.00944504	0.0983543	0.890884
