 	deve	essere	bianco	</S>
è	0.966131	0.00293849	0.00812053	0.0228105
n	0.920041	0.0529861	0.00391291	0.0230602
a	0.59263	0.0857159	0.313102	0.00855186
è	0.791504	0.207819	0.000597968	7.9199e-05
n	0.387086	0.52704	0.0784315	0.00744239
e	0.0402099	0.685978	0.267938	0.00587336
à	0.165491	0.788206	0.0448406	0.00146269
s	0.00287409	0.0118334	0.980577	0.00471555
p	0.00248135	0.0427783	0.949274	0.00546653
r	0.000256256	0.0209074	0.0779988	0.900838
o	0.00622615	0.00794468	0.0356885	0.950141
</S>	0.00531206	0.0511153	0.0291273	0.914445
