 	vuole	vuole	mangiato	caldo	</S>
t	0.986797	0.0127521	7.08689e-05	1.21669e-05	0.000368064
è	0.991377	0.00848744	0.000115628	1.38473e-06	1.89958e-05
l	0.822394	0.171274	0.00490413	1.60352e-05	0.00141146
i	0.604664	0.391045	0.00312198	3.05937e-05	0.00113918
t	0.597873	0.38052	0.021391	0.000171017	4.55079e-05
è	0.0475075	0.758316	0.122192	0.00365388	0.068331
l	0.00893568	0.976266	0.0062101	0.00057048	0.0080174
i	0.0114824	0.942342	0.0405571	0.000125532	0.00549327
f	0.00405631	0.0924311	0.829159	0.0691033	0.00525022
a	0.00311918	0.367894	0.298268	0.0328724	0.297847
m	0.000635083	0.0178662	0.457395	0.497312	0.0267919
è	0.00394006	0.0863596	0.282017	0.0409269	0.586756
n	0.00130418	0.152605	0.290388	0.0685279	0.487175
o	0.00387632	0.250035	0.501445	0.0014602	0.243183
t	9.5992e-05	0.000776594	0.0140348	0.952307	0.0327858
r	0.000481449	0.00259854	0.0028607	0.0429728	0.951087
e	6.342e-05	0.000898408	0.00690618	0.643741	0.348391
m	0.000260916	0.00090724	0.00339469	0.259	0.736437
m	0.00152866	0.00452707	0.00404032	0.0482742	0.94163
ò	0.000120494	0.000297589	0.000692146	0.55482	0.44407
</S>	0.00478048	0.0419928	0.00406021	0.00432877	0.944838
