 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.999954	2.49099e-05	5.2153e-07	2.19818e-07	3.68251e-06	2.48986e-06	1.39639e-05
c	0.998032	9.38503e-06	4.93747e-06	4.01135e-06	0.00130314	0.00013371	0.000513118
h	0.987862	0.000117606	2.70773e-05	1.16442e-05	0.00761965	0.00152105	0.0028413
a	0.887783	0.000309875	0.000370086	0.000261277	0.102785	0.00593977	0.00255049
n	0.446361	0.495595	0.0409863	0.00269302	0.00551822	0.00208715	0.00675891
a	0.611022	0.1156	0.0322303	0.0197494	0.115516	0.00830323	0.0975784
v	0.67531	0.0264056	0.0580567	0.0470916	0.192043	0.000821018	0.000272114
o	0.214422	0.370765	0.138522	0.0454915	0.145122	0.00677437	0.0789034
r	0.0127866	0.0537804	0.52959	0.253873	0.140713	0.00447901	0.00477754
à	0.0610716	0.231544	0.324947	0.100793	0.10428	0.0145974	0.162767
s	0.0029071	0.0027503	0.0122564	0.00616335	0.768242	0.0977501	0.109931
o	0.0134435	0.321646	0.355652	0.0788013	0.114778	0.0700484	0.0456314
t	1.43975e-05	0.0344678	0.148025	0.790923	0.0223224	0.00179021	0.00245725
o	0.000859875	0.0150576	0.180995	0.438569	0.127567	0.0766293	0.160322
t	4.26294e-05	0.0378398	0.10103	0.727942	0.109018	0.00455629	0.0195716
s	0.000683189	0.00526155	0.0390685	0.349087	0.22059	0.111571	0.273739
o	0.000187094	0.528829	0.182521	0.111241	0.00466274	0.00677647	0.165784
m	0.000638654	0.0174596	0.00932327	0.0265691	0.275051	0.129381	0.541577
ì	0.000309608	0.0130333	0.00771312	0.0438079	0.868927	0.0224098	0.0437992
k	3.43141e-05	5.97198e-05	4.50227e-05	0.000433988	0.640849	0.275751	0.0828276
à	0.00588823	0.00686648	0.00268953	0.00681171	0.230618	0.665002	0.0821233
i	2.41936e-05	3.15632e-06	1.69981e-06	1.40331e-05	0.191367	0.653057	0.155532
m	0.000258425	0.00217236	0.000675456	0.00114212	0.00736195	0.499777	0.488612
è	0.00128514	0.000130215	0.000210866	0.000522274	0.0226994	0.554606	0.420546
r	1.30888e-05	4.8931e-07	2.69592e-07	8.83795e-07	0.0025351	0.93244	0.0650103
i	0.000428193	0.000222951	9.31117e-05	0.000146969	0.00163385	0.756605	0.24087
</S>	1.99142e-05	0.000192829	5.35342e-05	6.94257e-05	5.26969e-05	0.0295973	0.970014
