 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.997374	0.00151556	0.000769943	1.26167e-05	1.18964e-05	1.61845e-06	1.4023e-05	1.0848e-05	4.60483e-06	5.19505e-05	0.000232983
a	0.990123	0.00950652	0.000265373	4.25938e-05	2.14349e-05	7.64097e-06	6.6949e-06	5.41548e-06	5.23992e-06	8.78092e-06	7.0029e-06
p	0.681981	0.301255	0.015724	6.14517e-05	0.000688783	0.000251478	9.56835e-06	5.08069e-06	1.13903e-05	1.03238e-05	1.49866e-06
e	0.291913	0.477727	0.0207358	0.0855765	0.0301884	0.0043565	0.0207067	0.0117063	0.00315816	0.0122372	0.0416945
t	0.903208	0.0140939	0.0728322	0.00215902	0.00456136	0.00193722	0.000539328	0.000241473	0.000293733	0.000117163	1.66481e-05
ì	0.186094	0.0458779	0.0886168	0.23614	0.121424	0.0235534	0.126114	0.0510332	0.0190004	0.046579	0.0555672
a	0.0691151	0.106777	0.0619355	0.703052	0.0114683	0.000163935	0.0100091	0.00725793	0.00231071	0.00848371	0.0194265
e	0.0948664	0.000351122	0.899005	0.00307284	0.00166381	0.000555729	3.25205e-05	2.19941e-05	1.77333e-05	0.000171763	0.000240826
s	0.00510459	0.0141459	0.372967	0.514521	0.0873509	0.00322177	0.000827715	0.000397214	0.000363199	0.000716846	0.000384738
ò	0.00113554	0.000419868	0.0031792	0.855453	0.0641262	0.00703824	0.0318096	0.0114651	0.0115272	0.00579676	0.00804971
z	0.000141269	0.00822273	0.0044241	0.964731	0.00818245	8.63237e-05	0.00186122	0.00211267	0.000400957	0.00106354	0.00877355
u	0.0202183	0.0102311	0.140519	0.171022	0.499991	0.131971	0.00211242	0.00140291	0.00137753	0.0139489	0.00720598
n	0.000994734	6.40212e-05	0.00565605	0.0299327	0.881695	0.0755373	0.00270482	0.000888988	0.00104822	0.00104336	0.000435294
e	0.000912044	0.000744378	0.00165554	0.589449	0.26954	0.0492003	0.0289208	0.0105329	0.0248518	0.00554622	0.0186472
f	0.000509253	6.59571e-05	0.00186427	0.0579886	0.736896	0.13261	0.0379837	0.00819973	0.00629221	0.00352513	0.0140646
à	0.00129311	0.00061505	0.00073837	0.271096	0.458336	0.0714706	0.0812555	0.0247534	0.0436142	0.0139754	0.0328525
i	0.000172621	0.0268185	0.000654419	0.360704	0.477996	0.00146309	0.0129305	0.0102576	0.00296307	0.0225328	0.083507
t	0.00102441	0.000433003	0.00112725	0.000787131	0.239097	0.713559	0.0319758	0.00599565	0.00180415	0.00136929	0.00282703
o	0.000290297	7.79269e-05	6.97513e-05	0.0316082	0.369819	0.252911	0.120475	0.0434231	0.0334097	0.0353756	0.112541
g	0.000163727	5.67177e-05	0.00034465	0.00158529	0.105808	0.244688	0.519704	0.0712212	0.0355381	0.00554484	0.0153464
e	0.000759339	0.0010479	0.000800887	0.0197235	0.0649513	0.0946879	0.467664	0.105218	0.072362	0.0625049	0.11028
l	0.000273335	4.28732e-05	0.00042449	0.000506078	0.0157452	0.168703	0.587836	0.120463	0.0389971	0.00831513	0.0586943
à	0.000729381	0.00048269	0.000441789	0.00523349	0.0147202	0.0721518	0.524617	0.136993	0.108358	0.0658428	0.0704294
t	0.000238491	0.0208513	0.000313383	0.0074269	0.0155772	0.0023441	0.217538	0.139575	0.0335006	0.202782	0.359853
o	0.000820012	0.00056517	0.000311364	0.00193146	0.0187641	0.0480668	0.25853	0.147832	0.291555	0.198409	0.0332147
p	0.000150959	2.38847e-05	0.00017503	4.67016e-05	0.00266176	0.0324326	0.179866	0.339368	0.347885	0.0718591	0.0255305
r	0.000263134	0.00011406	0.000116441	0.00132414	0.00247816	0.0153515	0.132367	0.121537	0.494558	0.0797665	0.152124
ì	0.000231041	6.0388e-05	0.000188279	0.000867552	0.00694835	0.0307463	0.193491	0.108252	0.0472896	0.167527	0.444398
m	0.000273128	0.00153388	0.000722051	0.000461985	0.00133414	0.00522419	0.0194813	0.0911743	0.189637	0.583795	0.106363
a	0.00113572	0.0164147	0.000676903	0.00704444	0.00451487	0.0048543	0.0213522	0.0511042	0.540013	0.31192	0.0409705
k	0.000140851	2.02142e-05	0.000161646	1.51681e-05	0.000293087	0.0105277	0.0281726	0.0891619	0.438836	0.315294	0.117377
a	0.000366841	0.000181688	0.000129613	0.00160812	0.00100008	0.00105381	0.0029786	0.0088928	0.425236	0.291826	0.266726
n	0.000127323	2.15165e-05	0.000153096	3.03731e-05	0.000222043	0.00250863	0.0113633	0.0280872	0.338124	0.311466	0.307896
a	0.000163101	5.51149e-05	5.43094e-05	0.000542041	0.000516166	0.000603732	0.00191321	0.00557011	0.259203	0.418081	0.313298
f	0.000160827	2.77753e-05	0.000174044	4.49925e-05	0.00027685	0.00174338	0.00573638	0.0108959	0.175649	0.338578	0.466713
à	0.00041804	0.000116957	8.91518e-05	0.00115744	0.000905793	0.000686502	0.000931325	0.00226849	0.0970259	0.55728	0.33912
n	1.27704e-05	0.00244146	2.78649e-05	0.000364117	8.29918e-05	5.97412e-06	0.000425352	0.00311387	0.0286576	0.792088	0.17278
e	0.0002144	0.00043085	0.000165479	0.00050099	0.000603998	0.000321808	0.000831386	0.00198801	0.107388	0.837319	0.0502363
</S>	5.09108e-05	1.69813e-05	4.33383e-05	1.08341e-05	7.04914e-05	0.000263562	0.000854085	0.00229353	0.0165186	0.37864	0.601238
