 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
s	0.00358812	0.000146353	0.993811	0.00168352	0.000371459	1.02872e-05	1.59928e-06	1.06157e-05	0.000133989	0.000242917
i	0.0405339	0.712202	0.0922955	0.0551409	0.0852	0.00611494	0.000330261	0.000772882	0.00446095	0.00294901
i	0.0651528	0.92835	0.00042699	0.00319881	0.00227062	0.000525324	5.87399e-05	6.71793e-06	7.91921e-06	1.66437e-06
p	0.00640972	0.933869	0.021872	0.0169025	0.0161994	0.00384482	0.000178733	5.17656e-05	0.000458591	0.000213795
à	0.0125494	0.506752	0.0190141	0.077721	0.0778477	0.161936	0.0347267	0.0318237	0.0572775	0.0203515
s	4.31081e-05	0.00886545	0.959476	0.0301498	0.000179245	0.000131033	1.49521e-06	0.000303064	0.000224223	0.000626281
t	0.133357	0.419037	0.0784405	0.287012	0.0741722	0.00552386	0.000262715	0.000108946	0.0016554	0.000430694
a	0.00049976	0.127078	0.103411	0.356197	0.0475235	0.0215135	0.000722958	0.00338394	0.27469	0.064981
ì	0.0153791	0.0166673	0.00141871	0.945662	0.0178323	0.00192618	0.000746302	4.56566e-05	0.00031589	6.24351e-06
c	0.000953389	0.000967202	0.00605333	0.964934	0.0240283	0.00264456	0.000185179	3.07616e-05	0.000154431	4.8854e-05
h	0.000563741	0.00393586	0.0166638	0.90811	0.0618774	0.00740279	0.000219221	0.000330848	0.000806147	8.97746e-05
e	0.000164799	0.00138473	0.0916756	0.826829	0.0596818	0.00326958	0.00022131	0.000928775	0.00267552	0.013169
t	0.00098567	0.00133555	5.59863e-05	0.0223303	0.869907	0.0961029	0.00632686	0.000228451	0.00225498	0.000472278
e	0.000100397	0.000682178	0.00113919	0.0278973	0.628914	0.214181	0.0423571	0.0377508	0.0290688	0.017909
l	0.000510182	0.000286149	4.65274e-05	0.0205959	0.575788	0.365654	0.0248332	0.00276318	0.00562013	0.0039027
ì	0.00028294	0.000772157	0.000788748	0.00317982	0.293589	0.539518	0.0445822	0.0442721	0.0565123	0.0165034
s	2.18845e-05	0.000236041	0.148511	0.0456896	0.194968	0.274443	0.00169262	0.031649	0.0132309	0.289557
o	0.000459332	0.000887427	0.00126612	0.00535703	0.687584	0.293094	0.00724295	0.00134902	0.00254247	0.000217605
n	0.000648584	0.000201211	3.54394e-05	0.00247927	0.112923	0.481845	0.373963	0.00386088	0.0189428	0.00510117
t	0.000213392	0.000938725	0.000779101	0.00144869	0.0905552	0.586186	0.168823	0.114224	0.0245395	0.0122925
a	0.000503895	0.000505752	0.000181469	0.00306016	0.0505414	0.153763	0.34716	0.0591482	0.161893	0.223243
à	0.000609624	0.000193658	3.05672e-05	0.000745562	0.0315757	0.373345	0.438687	0.0197568	0.0644923	0.0705646
l	0.00133306	0.00208267	0.181257	0.0287099	0.0700138	0.381737	0.0846114	0.212745	0.0315906	0.00591972
a	0.000427469	0.00253563	0.00957633	0.0087088	0.225672	0.620187	0.071118	0.0353121	0.0254408	0.00102113
t	0.000929387	0.000212809	3.95279e-05	0.000802995	0.0164465	0.145792	0.526785	0.143315	0.115551	0.0501266
o	0.000115486	0.00084347	0.000904971	0.000937475	0.00364157	0.0200974	0.228649	0.556485	0.101638	0.0866872
ì	0.00058184	0.000135423	3.53088e-05	0.000429711	0.00282536	0.0450185	0.332857	0.330579	0.134515	0.153023
c	0.001227	0.0013257	0.104939	0.0197022	0.00585403	0.00860089	0.0211959	0.601666	0.229898	0.00559075
h	0.000664726	0.00868884	0.0461291	0.032485	0.0688126	0.131278	0.0564732	0.467818	0.179589	0.00806129
a	0.000388796	0.000498112	0.000183326	0.00153431	0.00762507	0.0749235	0.0680465	0.0841966	0.663242	0.0993623
v	0.000186078	0.000192884	5.58548e-05	0.00019352	0.000561731	0.00259912	0.0375647	0.0718791	0.865964	0.0208034
à	0.000238113	0.00185019	0.00136919	0.00200267	0.00136135	0.00106682	0.0219753	0.461875	0.425086	0.0831747
l	1.1398e-05	0.000245954	0.0291202	0.00451148	0.000655895	0.00175761	0.000345671	0.385485	0.179407	0.39846
o	0.000377498	0.00169649	0.0060357	0.00367436	0.00511268	0.00876053	0.0347439	0.51805	0.411266	0.0102831
n	0.000112974	6.7593e-05	1.1388e-05	0.000130754	0.000163041	0.000920523	0.0152002	0.0204866	0.760323	0.202584
t	0.000222101	0.00137918	0.00184132	0.00182949	0.00216428	0.00120142	0.0188733	0.2231	0.444874	0.304515
a	0.000201109	0.000610462	8.55254e-05	0.00103748	0.00189112	0.00842492	0.404743	0.169115	0.103993	0.309898
</S>	0.000117057	6.51517e-05	1.18341e-05	0.000108606	0.000154031	0.000797861	0.0221565	0.0336032	0.338151	0.604835
