 	che	non	li	aspettiamo	</S>
n	0.981658	0.000301766	0.00135158	0.0135656	0.00312343
a	0.779143	0.0538261	0.088912	0.0392521	0.0388666
m	0.28377	0.537501	0.178365	0.000336455	2.72399e-05
i	0.0368293	0.0423777	0.242426	0.474672	0.203695
t	0.192918	0.237089	0.545513	0.0203807	0.0040994
u	0.0522981	0.0189006	0.379317	0.301655	0.247829
s	0.0357305	0.0764815	0.753979	0.0878836	0.0459258
m	0.00826204	0.0174561	0.0971365	0.712592	0.164553
ì	0.0152958	0.0669852	0.0961848	0.55712	0.264414
n	0.00377804	0.0230798	0.599035	0.328172	0.0459347
o	0.0859357	0.0156043	0.844533	0.0194115	0.0345154
m	0.00669876	0.0119677	0.29486	0.444486	0.241987
e	0.0225414	0.0167397	0.0530985	0.423311	0.484309
</S>	0.000703041	0.00201845	0.00825342	0.335377	0.653648
