 	voglio	un	forno	che	vende	rustici	</S>
t	0.997551	0.00226287	0.000112968	3.02232e-06	2.67814e-06	2.38354e-05	4.35787e-05
è	0.998235	0.000985718	0.000709579	3.22269e-05	2.376e-05	2.56174e-06	1.06487e-05
l	0.943023	0.0504783	0.00245442	0.00140533	0.00110516	3.17856e-05	0.00150168
o	0.848376	0.149747	0.00138569	0.000247034	3.13531e-05	0.000154726	5.89839e-05
è	0.432874	0.557634	0.00488543	0.00366668	0.000367675	0.000570441	1.99471e-06
n	0.00557249	0.918925	0.0703622	0.00259251	0.000160935	0.00235345	3.37904e-05
a	0.00971379	0.921735	0.0442675	0.0196595	0.00247008	0.00203899	0.000115226
f	0.00782408	0.52457	0.175883	0.274051	0.0166042	0.000969875	9.73502e-05
ù	0.00316918	0.121524	0.406185	0.315195	0.0994843	0.0285416	0.0259012
r	0.00209893	0.312604	0.501019	0.0499362	0.085569	0.00692798	0.0418446
n	0.0015678	0.132318	0.653964	0.199647	0.00839432	0.00333787	0.000771435
o	0.000341667	0.00802346	0.668568	0.0311519	0.0374439	0.0121129	0.242358
k	0.000385781	0.0208296	0.175271	0.67963	0.116321	0.00551659	0.00204602
a	0.000245349	0.00228857	0.272765	0.573163	0.115393	0.0103976	0.0257472
p	6.31082e-05	0.00195239	0.0358674	0.688663	0.238781	0.00167367	0.0330003
u	0.00021949	0.00194725	0.0644388	0.461198	0.36355	0.0168994	0.0917463
l	0.000143497	0.00184703	0.0212584	0.299467	0.504925	0.0153254	0.157034
ì	0.000343766	0.00147018	0.00907843	0.180604	0.711815	0.0363361	0.0603529
r	0.000390178	0.00235751	0.0108619	0.0498018	0.652808	0.0256039	0.258176
ù	0.00085164	0.00433545	0.0334592	0.227358	0.368039	0.343125	0.0228311
s	9.39053e-05	0.000318537	0.00120855	0.00334605	0.183951	0.100054	0.711028
t	0.000739719	0.00344289	0.00550819	0.0662276	0.252929	0.634378	0.0367747
i	3.6429e-05	0.000118337	0.00890269	0.0182986	0.296722	0.0496836	0.626239
k	0.000168693	0.000501097	0.000921285	0.007081	0.0288505	0.921638	0.0408389
u	0.000343508	0.0013549	0.000370454	0.00452767	0.07127	0.0937047	0.828429
</S>	7.05656e-05	0.000254633	0.000460515	0.00217271	0.00556084	0.261023	0.730458
